,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,106180000,111230000,70784000,262910000,80896000,96064000,85952000,111230000,55616000,50560000,80896000,217410000,85952000,267970000,50560000,80896000,60672000,70784000,80896000,85952000,50560000,91008000,96064000,65728000,96064000,80896000,65728000,273020000,65728000,70784000,80896000,75840000,60672000,45504000,70784000,217410000,525820000,197180000,621890000,990980000,996030000,91008000,1228600000,91008000,101120000,75840000,50560000,1218500000
2,argB,75840000,75840000,55616000,455040000,141570000,96064000,151680000,75840000,80896000,70784000,75840000,166850000,40448000,187070000,91008000,70784000,75840000,75840000,70784000,80896000,1041500000,116290000,323580000,131460000,207300000,55616000,60672000,429760000,141570000,75840000,146620000,101120000,65728000,55616000,65728000,161790000,783680000,136510000,768510000,930300000,935360000,75840000,1243800000,70784000,70784000,60672000,70784000,1233700000
3,argC,111230000,70784000,60672000,475260000,156740000,85952000,101120000,55616000,80896000,70784000,75840000,106180000,101120000,182020000,75840000,65728000,85952000,80896000,70784000,75840000,773570000,96064000,283140000,60672000,106180000,85952000,55616000,429760000,151680000,75840000,116290000,55616000,60672000,55616000,60672000,91008000,611780000,121340000,637060000,940420000,930300000,75840000,1082000000,75840000,65728000,65728000,55616000,1279200000
4,argE,176960000,419650000,374140000,80896000,303360000,121340000,874690000,166850000,171900000,171900000,85952000,394370000,70784000,455040000,232580000,70784000,91008000,80896000,80896000,156740000,85952000,101120000,207300000,131460000,161790000,389310000,369090000,50560000,303360000,96064000,940420000,161790000,156740000,166850000,80896000,399420000,348860000,141570000,611780000,844350000,803900000,75840000,1051600000,75840000,85952000,106180000,65728000,1319600000
5,argH,116290000,116290000,121340000,283140000,70784000,75840000,101120000,116290000,151680000,166850000,70784000,161790000,101120000,151680000,75840000,70784000,75840000,70784000,60672000,70784000,111230000,91008000,182020000,75840000,106180000,116290000,136510000,343810000,70784000,111230000,111230000,106180000,136510000,161790000,70784000,151680000,404480000,121340000,500540000,899970000,1016300000,65728000,1016300000,80896000,85952000,75840000,50560000,1248800000
6,proC,80896000,106180000,80896000,136510000,101120000,70784000,409540000,166850000,101120000,111230000,80896000,207300000,156740000,182020000,60672000,70784000,96064000,106180000,343810000,101120000,85952000,80896000,106180000,136510000,65728000,75840000,70784000,121340000,101120000,75840000,409540000,166850000,96064000,106180000,80896000,171900000,126400000,91008000,257860000,884800000,455040000,106180000,1137600000,80896000,70784000,85952000,60672000,1304400000
7,icd,151680000,141570000,111230000,935360000,106180000,358980000,60672000,697730000,1188200000,1213400000,161790000,950530000,106180000,581440000,91008000,65728000,60672000,85952000,101120000,217410000,1021300000,106180000,131460000,116290000,106180000,116290000,116290000,950530000,101120000,283140000,75840000,717950000,1415700000,1208400000,171900000,930300000,267970000,146620000,611780000,1213400000,980860000,1036500000,197180000,611780000,687620000,626940000,45504000,1324700000
8,nadC,96064000,85952000,60672000,116290000,96064000,318530000,849410000,60672000,80896000,65728000,70784000,920190000,91008000,844350000,106180000,80896000,60672000,60672000,65728000,116290000,80896000,70784000,85952000,121340000,85952000,65728000,60672000,136510000,101120000,328640000,793790000,55616000,80896000,65728000,111230000,884800000,303360000,116290000,490430000,814020000,753340000,80896000,1127500000,146620000,131460000,338750000,50560000,1314600000
9,panB,101120000,96064000,60672000,136510000,171900000,96064000,1152800000,70784000,65728000,70784000,85952000,217410000,91008000,1319600000,207300000,65728000,156740000,358980000,1314600000,262910000,40448000,80896000,101120000,85952000,111230000,131460000,793790000,166850000,116290000,80896000,136510000,111230000,146620000,146620000,1344900000,1071900000,1299400000,1117400000,1147700000,1456100000,1319600000,91008000,1233700000,91008000,80896000,70784000,111230000,1279200000
10,panD,40448000,85952000,60672000,146620000,252800000,131460000,1082000000,65728000,80896000,65728000,80896000,369090000,45504000,1279200000,273020000,65728000,192130000,455040000,1324700000,596610000,55616000,60672000,131460000,156740000,75840000,106180000,556160000,171900000,106180000,85952000,116290000,111230000,126400000,116290000,1218500000,1435900000,1066800000,1248800000,1147700000,1395500000,1299400000,85952000,1178000000,70784000,60672000,65728000,55616000,1274100000
11,serC,96064000,60672000,55616000,80896000,85952000,91008000,131460000,55616000,65728000,65728000,70784000,80896000,91008000,55616000,40448000,70784000,70784000,75840000,80896000,45504000,60672000,50560000,131460000,65728000,101120000,45504000,75840000,85952000,91008000,96064000,111230000,101120000,136510000,151680000,182020000,75840000,106180000,65728000,353920000,970750000,384260000,75840000,106180000,75840000,60672000,55616000,50560000,1253900000
12,cysC,222460000,106180000,101120000,333700000,166850000,237630000,990980000,1036500000,111230000,126400000,91008000,141570000,80896000,80896000,101120000,91008000,106180000,101120000,1193200000,121340000,121340000,91008000,75840000,136510000,91008000,96064000,80896000,80896000,106180000,121340000,136510000,121340000,237630000,222460000,1071900000,1041500000,985920000,384260000,864580000,965700000,1016300000,161790000,1253900000,106180000,116290000,136510000,80896000,1248800000
13,cysE,91008000,60672000,75840000,65728000,65728000,166850000,55616000,70784000,70784000,60672000,65728000,85952000,91008000,60672000,45504000,55616000,50560000,50560000,75840000,55616000,55616000,65728000,106180000,75840000,101120000,55616000,80896000,80896000,70784000,80896000,116290000,111230000,156740000,171900000,156740000,91008000,101120000,65728000,126400000,283140000,439870000,60672000,202240000,75840000,75840000,75840000,45504000,1264000000
14,cysH,176960000,116290000,101120000,475260000,141570000,176960000,293250000,1167900000,1132500000,1264000000,75840000,141570000,75840000,80896000,80896000,75840000,126400000,91008000,793790000,116290000,75840000,85952000,75840000,126400000,91008000,91008000,70784000,60672000,96064000,106180000,131460000,126400000,262910000,273020000,1117400000,1071900000,1076900000,399420000,1117400000,1102200000,1061800000,136510000,1087000000,85952000,80896000,101120000,75840000,1269100000
15,glnA,101120000,85952000,85952000,267970000,65728000,80896000,70784000,70784000,121340000,126400000,65728000,80896000,101120000,85952000,50560000,55616000,40448000,60672000,70784000,75840000,161790000,70784000,101120000,60672000,96064000,60672000,65728000,60672000,65728000,70784000,96064000,111230000,126400000,141570000,151680000,131460000,116290000,70784000,182020000,424700000,273020000,75840000,414590000,85952000,80896000,75840000,45504000,1279200000
16,serA,136510000,96064000,80896000,91008000,60672000,96064000,136510000,70784000,80896000,70784000,80896000,161790000,75840000,96064000,70784000,70784000,55616000,85952000,116290000,60672000,85952000,70784000,146620000,131460000,111230000,91008000,111230000,75840000,85952000,96064000,156740000,116290000,146620000,156740000,227520000,146620000,91008000,116290000,202240000,748290000,338750000,96064000,131460000,75840000,106180000,65728000,60672000,1516800000
17,hisB,96064000,101120000,70784000,85952000,106180000,85952000,101120000,85952000,91008000,111230000,70784000,131460000,126400000,111230000,65728000,91008000,136510000,101120000,101120000,96064000,222460000,131460000,131460000,96064000,96064000,75840000,80896000,85952000,101120000,75840000,106180000,116290000,141570000,156740000,171900000,146620000,146620000,111230000,182020000,525820000,384260000,91008000,131460000,91008000,96064000,96064000,75840000,1294300000
18,hisC,80896000,75840000,80896000,80896000,96064000,176960000,91008000,80896000,141570000,151680000,75840000,156740000,101120000,106180000,80896000,101120000,96064000,85952000,96064000,75840000,343810000,96064000,121340000,121340000,101120000,70784000,70784000,65728000,65728000,65728000,85952000,101120000,171900000,171900000,192130000,166850000,161790000,111230000,187070000,632000000,419650000,106180000,136510000,91008000,85952000,101120000,70784000,1253900000
19,hisD,111230000,91008000,65728000,96064000,91008000,884800000,96064000,80896000,1117400000,1309500000,85952000,990980000,166850000,839300000,60672000,121340000,116290000,121340000,101120000,424700000,1051600000,126400000,121340000,126400000,106180000,60672000,65728000,85952000,85952000,91008000,116290000,126400000,131460000,146620000,217410000,136510000,126400000,96064000,197180000,535940000,490430000,101120000,283140000,91008000,91008000,111230000,55616000,1314600000
20,hisI,101120000,116290000,111230000,207300000,91008000,106180000,202240000,141570000,824130000,1026400000,91008000,156740000,111230000,131460000,70784000,80896000,91008000,85952000,116290000,70784000,232580000,106180000,121340000,121340000,75840000,80896000,85952000,60672000,80896000,106180000,111230000,111230000,288190000,273020000,252800000,207300000,197180000,91008000,171900000,773570000,581440000,101120000,829180000,70784000,80896000,85952000,80896000,1299400000
21,metA,101120000,819070000,915140000,101120000,136510000,91008000,1127500000,65728000,75840000,60672000,75840000,85952000,116290000,91008000,161790000,80896000,202240000,166850000,1036500000,197180000,80896000,116290000,131460000,70784000,111230000,80896000,106180000,96064000,91008000,55616000,96064000,96064000,171900000,166850000,1193200000,970750000,621890000,136510000,945470000,1127500000,1097200000,55616000,1102200000,75840000,91008000,70784000,60672000,1269100000
22,guaA,121340000,146620000,106180000,141570000,116290000,111230000,131460000,75840000,101120000,101120000,106180000,126400000,126400000,131460000,106180000,126400000,151680000,131460000,131460000,121340000,136510000,116290000,121340000,91008000,106180000,101120000,106180000,96064000,91008000,96064000,116290000,146620000,146620000,136510000,182020000,131460000,136510000,146620000,192130000,723010000,606720000,151680000,197180000,151680000,146620000,136510000,111230000,1269100000
23,guaB,116290000,333700000,202240000,202240000,161790000,126400000,166850000,121340000,121340000,126400000,126400000,146620000,111230000,141570000,136510000,126400000,121340000,121340000,116290000,121340000,151680000,126400000,106180000,136510000,121340000,111230000,116290000,116290000,121340000,116290000,106180000,131460000,116290000,121340000,116290000,182020000,126400000,136510000,187070000,490430000,571330000,121340000,399420000,131460000,131460000,131460000,116290000,1334800000
