,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
25,purC,326,235,261,342,1200,1148,1553,425,527,590,380,806,220,1342,471,610,462,309,693,1053,1958,148,154,617,401,562,413,603,401,314,311,416,765,704,4799,2090,3388,1101,5189,3723,4467,693,8769,589,471,323,9,8148
26,purD,336,168,241,430,1246,4105,1588,373,837,879,307,833,108,823,277,319,242,335,630,1131,1801,118,120,587,363,526,319,494,438,282,319,338,1064,832,5383,4050,8584,1628,6767,4917,3445,475,9350,682,375,199,17,8019
27,purF,313,298,337,217,997,468,1464,340,7262,7685,625,878,147,1251,319,682,414,344,534,1152,1255,265,121,686,517,506,355,466,378,316,334,349,821,1005,1044,2691,8204,1105,5673,6127,4647,619,8960,770,480,276,16,8398
28,purL,397,219,222,679,779,1055,1681,382,1495,1240,301,811,139,1108,433,372,298,354,580,1108,2030,182,127,516,278,474,333,488,323,280,300,253,1394,928,3787,3298,8276,1386,5835,5529,4900,520,9241,754,367,203,15,4559
29,purM,480,188,305,817,1125,472,2000,395,1385,1459,250,949,98,1157,381,333,317,335,772,1006,2664,180,103,556,320,388,388,451,360,233,253,262,935,682,3774,3112,6246,1222,3957,3659,3758,484,8469,550,377,230,20,7939
30,pyrB,506,2267,731,2272,1757,1971,8796,4331,563,512,327,2185,171,4174,167,739,531,672,1344,1295,591,192,120,701,481,408,363,550,363,231,293,315,281,174,3136,5605,8295,809,2042,5631,5580,428,8419,673,418,277,7,8432
31,pyrC,243,4659,6840,7149,1176,1442,469,579,534,589,320,1691,105,2872,194,516,305,323,375,1183,663,223,121,548,456,439,311,478,422,243,202,220,274,349,1831,4016,7553,849,7534,4926,5397,435,8551,711,405,234,11,7674
32,pyrD,297,7544,6787,7546,1430,4120,562,1828,611,639,281,2202,297,6606,350,610,418,460,710,1171,1100,191,110,612,478,492,435,901,454,176,322,292,318,337,4013,7692,7319,1646,7558,5337,4698,457,7379,748,403,294,4,7667
33,pyrE,1993,8620,7210,6855,3533,2832,5112,715,884,1050,420,7984,1513,7781,655,689,860,1533,2170,2113,1475,198,158,756,595,828,537,907,638,558,740,967,322,287,5027,8991,5811,1006,5084,4826,4743,767,8067,856,404,404,4,9722
34,pyrF,875,8402,7796,7129,2833,3064,2717,733,670,1075,377,4919,1512,8118,554,553,565,920,1622,1869,2397,184,124,895,1632,802,483,918,562,542,726,798,328,394,5045,4889,5849,1265,6321,4242,3673,717,9578,831,298,439,17,6111
35,lysA,5116,5425,4895,6447,7134,4991,7723,6286,7407,6900,1105,3795,1622,5312,4977,1269,959,1288,3701,901,3990,343,371,1706,1094,2036,524,4015,1984,302,373,416,613,1259,425,3536,2086,2311,843,2457,2765,2046,5877,1957,1541,1409,18,9777
36,tyrA,5396,5103,4510,5724,4028,6247,7560,5832,6999,6964,1004,6109,272,5767,3698,522,414,572,1997,1131,4416,235,202,551,697,517,314,480,409,217,320,305,300,337,3718,1115,8852,6218,4003,4824,3306,3961,8763,615,467,659,31,9338
37,trpA,5816,5057,4085,5913,4288,4337,7363,7433,7734,9234,1584,7549,294,8532,2870,685,297,314,356,426,3098,492,190,372,907,683,261,374,255,819,1096,727,1382,2072,4645,338,1224,303,301,486,470,3390,7763,2939,3471,2335,87,7131
38,trpB,6698,972,1323,4365,1266,329,7731,7201,7819,7369,1526,8377,98,7755,995,391,277,242,271,920,5162,748,207,563,684,822,460,1073,927,311,363,294,696,769,5482,2054,897,288,298,343,342,5323,8949,2998,1442,2821,17,9480
39,trpC,8072,7818,6485,7669,7169,1461,8173,8292,8743,9279,1520,8136,727,7688,2879,562,352,242,534,767,4334,2193,250,554,3185,1816,1952,1507,3328,824,805,266,1071,1025,7181,2753,1267,353,274,319,8070,648,8135,2749,2219,1948,20,7933
40,trpD,6742,4938,6595,5496,7979,5714,7161,8297,8377,7690,394,5061,5632,5615,5298,337,1400,1552,3560,978,4925,2593,1964,478,4432,3634,1731,2693,5056,1965,2960,2137,2227,3921,5348,3471,1097,402,265,626,5793,5254,6635,5437,5612,4478,184,8102
41,trpE,6191,4112,5026,7071,7898,6891,8319,8905,8202,7322,181,7482,5453,7460,7109,326,720,1755,1654,376,4092,2155,1144,3498,2973,4665,3696,2921,4660,1583,1452,2066,2573,4658,5614,3238,386,392,66,777,589,4997,7972,2571,2680,3262,196,9694
42,ilvC,1884,4735,2840,232,1330,5614,4290,5115,1120,527,372,6988,270,6618,2344,457,350,716,3495,1607,414,172,466,528,1067,657,400,660,615,283,317,288,296,389,4747,4817,4738,1981,2045,6077,3549,333,1457,282,293,159,7,9564
43,ilvE,1145,1673,1694,1949,532,205,8708,2993,5194,5116,1195,3005,703,4014,678,492,354,371,282,182,1635,97,17,577,462,112,100,162,228,34,48,35,47,66,1438,661,351,344,459,1494,763,6629,1239,631,845,538,33,9626
44,leuB,1479,453,716,3117,1295,1346,8429,8516,1729,754,484,7545,107,7211,1316,514,235,275,314,940,456,285,440,435,620,581,497,731,838,349,380,356,436,413,5956,7773,7806,695,5126,1191,3242,361,8021,671,252,131,14,7119
45,leuD,1694,534,649,1205,1427,556,8009,5800,1411,1032,407,8153,104,7774,2163,549,197,289,275,803,465,274,351,447,1041,649,573,698,881,361,324,319,361,434,5520,7307,3588,971,3770,1121,3869,456,8562,750,325,160,27,8817
46,leuC,6719,688,531,4230,1396,1539,7698,9007,2696,1361,405,7977,110,7954,1982,582,230,231,317,750,672,270,276,376,1045,601,518,849,815,325,343,375,1078,799,4031,6405,7721,1035,4894,2041,3837,338,6095,815,257,156,3,8961
47,Negative,1159,293,247,341,296,312,574,523,1013,1057,390,1349,69,1503,417,570,270,263,174,974,559,178,126,460,528,438,313,401,340,239,241,202,261,282,403,1001,1096,282,176,273,520,224,1065,206,327,186,2,8656
48,Positive,644,204,430,630,52,50,2778,1092,366,443,40,1651,50,1005,238,69,42,31,24,117,233,10,8,236,31,79,51,167,111,54,38,30,23,28,28,299,191,108,79,229,178,117,166,424,397,320,3,5404
