,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,101120000,75840000,70784000,131460000,91008000,80896000,85952000,101120000,50560000,55616000,70784000,126400000,96064000,121340000,50560000,70784000,65728000,70784000,75840000,75840000,55616000,85952000,85952000,70784000,101120000,101120000,85952000,151680000,65728000,75840000,91008000,91008000,55616000,60672000,85952000,126400000,171900000,151680000,303360000,910080000,844350000,80896000,202240000,85952000,70784000,80896000,60672000,1137600000
2,argB,55616000,75840000,65728000,303360000,111230000,91008000,121340000,75840000,75840000,65728000,80896000,151680000,60672000,96064000,65728000,75840000,75840000,80896000,70784000,85952000,151680000,85952000,187070000,131460000,91008000,80896000,80896000,288190000,121340000,85952000,106180000,80896000,75840000,65728000,91008000,146620000,207300000,101120000,389310000,935360000,915140000,80896000,798850000,75840000,80896000,75840000,75840000,1092100000
3,argC,91008000,60672000,65728000,298300000,116290000,70784000,80896000,60672000,60672000,50560000,70784000,91008000,111230000,85952000,80896000,80896000,91008000,85952000,65728000,65728000,111230000,80896000,171900000,60672000,116290000,75840000,85952000,313470000,126400000,96064000,96064000,101120000,65728000,60672000,70784000,91008000,182020000,91008000,358980000,935360000,889860000,75840000,707840000,80896000,75840000,70784000,60672000,1112300000
4,argE,101120000,247740000,242690000,65728000,126400000,91008000,202240000,91008000,111230000,101120000,75840000,182020000,75840000,131460000,111230000,75840000,80896000,80896000,70784000,101120000,80896000,91008000,126400000,116290000,121340000,262910000,257860000,106180000,131460000,106180000,202240000,91008000,106180000,111230000,75840000,176960000,136510000,101120000,369090000,879740000,849410000,85952000,697730000,85952000,80896000,96064000,75840000,1162900000
5,argH,106180000,91008000,106180000,116290000,70784000,60672000,80896000,91008000,106180000,101120000,65728000,111230000,106180000,101120000,85952000,65728000,91008000,75840000,70784000,65728000,85952000,85952000,141570000,91008000,111230000,101120000,116290000,131460000,96064000,70784000,96064000,85952000,116290000,116290000,70784000,111230000,151680000,91008000,288190000,768510000,621890000,65728000,227520000,80896000,80896000,91008000,55616000,1087000000
6,proC,65728000,91008000,75840000,70784000,91008000,60672000,151680000,60672000,80896000,70784000,80896000,146620000,85952000,101120000,70784000,60672000,96064000,70784000,96064000,65728000,80896000,70784000,91008000,121340000,70784000,80896000,96064000,91008000,91008000,65728000,156740000,80896000,85952000,85952000,80896000,136510000,96064000,91008000,116290000,389310000,166850000,91008000,202240000,80896000,70784000,80896000,60672000,1117400000
7,icd,111230000,111230000,96064000,308420000,80896000,161790000,50560000,171900000,116290000,141570000,141570000,702780000,106180000,202240000,75840000,70784000,70784000,80896000,96064000,161790000,273020000,96064000,121340000,116290000,106180000,101120000,101120000,318530000,101120000,141570000,80896000,171900000,126400000,156740000,151680000,667390000,161790000,101120000,389310000,1122400000,960640000,414590000,136510000,212350000,262910000,313470000,55616000,1238700000
8,nadC,91008000,65728000,70784000,85952000,91008000,96064000,212350000,70784000,70784000,75840000,75840000,161790000,101120000,96064000,80896000,80896000,50560000,70784000,75840000,91008000,80896000,70784000,75840000,126400000,101120000,96064000,80896000,96064000,80896000,85952000,192130000,65728000,75840000,70784000,75840000,141570000,126400000,106180000,197180000,626940000,490430000,80896000,879740000,80896000,96064000,101120000,65728000,1137600000
9,panB,101120000,80896000,70784000,96064000,106180000,70784000,672450000,70784000,50560000,65728000,75840000,131460000,91008000,1344900000,65728000,75840000,70784000,91008000,96064000,85952000,55616000,85952000,91008000,70784000,111230000,121340000,677500000,131460000,96064000,75840000,91008000,85952000,126400000,91008000,1223600000,1132500000,434820000,945470000,358980000,1501600000,1365100000,85952000,136510000,91008000,75840000,80896000,75840000,1127500000
