,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,131460000,101120000,75840000,273020000,75840000,96064000,80896000,106180000,70784000,55616000,75840000,232580000,106180000,242690000,70784000,96064000,80896000,85952000,96064000,106180000,65728000,111230000,121340000,75840000,121340000,101120000,96064000,106180000,96064000,96064000,111230000,106180000,166850000,171900000,166850000,399420000,626940000,197180000,687620000,1122400000,925250000,96064000,1107300000,80896000,101120000,85952000,50560000,1274100000
2,argB,75840000,101120000,80896000,475260000,136510000,91008000,151680000,65728000,80896000,70784000,80896000,176960000,70784000,166850000,96064000,75840000,85952000,75840000,75840000,106180000,1173000000,136510000,358980000,126400000,111230000,101120000,126400000,101120000,106180000,227520000,176960000,176960000,232580000,217410000,925250000,551100000,637060000,116290000,692670000,905020000,960640000,85952000,1066800000,70784000,70784000,80896000,55616000,1274100000
3,argC,111230000,96064000,50560000,530880000,146620000,91008000,121340000,75840000,131460000,55616000,75840000,106180000,106180000,161790000,75840000,96064000,91008000,85952000,70784000,101120000,869630000,126400000,267970000,70784000,121340000,85952000,106180000,111230000,101120000,247740000,161790000,197180000,242690000,222460000,965700000,520770000,546050000,106180000,616830000,965700000,905020000,70784000,1228600000,80896000,75840000,80896000,50560000,1253900000
4,argE,161790000,419650000,404480000,65728000,222460000,126400000,955580000,227520000,217410000,176960000,75840000,333700000,85952000,298300000,262910000,80896000,91008000,80896000,85952000,222460000,96064000,121340000,237630000,136510000,116290000,96064000,121340000,96064000,116290000,156740000,166850000,187070000,207300000,176960000,1082000000,561220000,318530000,121340000,621890000,854460000,798850000,80896000,1152800000,80896000,75840000,106180000,60672000,1208400000
5,argH,126400000,136510000,156740000,232580000,65728000,96064000,106180000,131460000,212350000,166850000,70784000,182020000,116290000,156740000,80896000,70784000,75840000,80896000,65728000,85952000,136510000,121340000,192130000,96064000,126400000,96064000,111230000,96064000,111230000,146620000,156740000,141570000,202240000,192130000,834240000,217410000,419650000,111230000,540990000,935360000,1011200000,70784000,1076900000,80896000,80896000,85952000,50560000,1284200000
6,proC,91008000,85952000,70784000,166850000,106180000,70784000,520770000,333700000,106180000,116290000,75840000,247740000,166850000,252800000,70784000,75840000,101120000,106180000,475260000,136510000,91008000,106180000,121340000,151680000,116290000,156740000,141570000,227520000,106180000,171900000,126400000,136510000,192130000,202240000,232580000,348860000,121340000,91008000,303360000,985920000,490430000,91008000,1188200000,75840000,80896000,101120000,60672000,1299400000
7,icd,106180000,141570000,131460000,950530000,126400000,480320000,70784000,1046600000,1198300000,1193200000,121340000,980860000,106180000,535940000,80896000,80896000,65728000,80896000,80896000,278080000,1016300000,131460000,166850000,126400000,151680000,106180000,121340000,121340000,116290000,480320000,121340000,111230000,176960000,161790000,374140000,581440000,247740000,141570000,657280000,975810000,1157800000,1157800000,182020000,606720000,616830000,647170000,40448000,1289300000
8,nadC,101120000,85952000,80896000,182020000,116290000,379200000,940420000,70784000,96064000,65728000,70784000,1071900000,80896000,1082000000,91008000,65728000,65728000,80896000,85952000,166850000,85952000,96064000,111230000,131460000,85952000,70784000,91008000,96064000,65728000,131460000,101120000,126400000,101120000,91008000,1223600000,824130000,252800000,121340000,540990000,970750000,743230000,91008000,1329700000,126400000,131460000,338750000,96064000,1223600000
9,panB,101120000,96064000,70784000,262910000,161790000,192130000,136510000,85952000,80896000,85952000,101120000,1021300000,91008000,1299400000,444930000,91008000,111230000,136510000,1264000000,111230000,55616000,101120000,141570000,116290000,116290000,111230000,884800000,156740000,111230000,91008000,146620000,121340000,146620000,141570000,1380300000,1142700000,1228600000,1264000000,1107300000,1258900000,1258900000,96064000,1178000000,96064000,80896000,80896000,80896000,1274100000
