,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,101120000,116290000,70784000,687620000,121340000,111230000,70784000,101120000,45504000,40448000,70784000,864580000,91008000,980860000,65728000,106180000,75840000,80896000,101120000,96064000,70784000,106180000,121340000,70784000,96064000,116290000,75840000,682560000,75840000,85952000,80896000,85952000,60672000,65728000,75840000,596610000,788740000,288190000,753340000,930300000,930300000,116290000,1299400000,111230000,91008000,111230000,60672000,1370200000
2,argB,136510000,70784000,70784000,434820000,182020000,106180000,182020000,70784000,75840000,55616000,80896000,166850000,65728000,1066800000,121340000,75840000,85952000,70784000,65728000,96064000,1183100000,116290000,500540000,121340000,460100000,75840000,80896000,429760000,182020000,91008000,252800000,101120000,80896000,65728000,85952000,156740000,1137600000,171900000,1016300000,874690000,879740000,80896000,1309500000,75840000,91008000,85952000,101120000,1243800000
3,argC,141570000,55616000,45504000,465150000,171900000,96064000,116290000,65728000,60672000,55616000,75840000,101120000,106180000,1061800000,116290000,75840000,75840000,70784000,60672000,85952000,945470000,101120000,414590000,70784000,131460000,60672000,85952000,444930000,187070000,96064000,161790000,65728000,65728000,70784000,65728000,101120000,834240000,166850000,753340000,905020000,894910000,80896000,1193200000,70784000,75840000,75840000,50560000,1324700000
4,argE,384260000,429760000,394370000,65728000,465150000,455040000,844350000,389310000,308420000,283140000,75840000,970750000,91008000,1016300000,444930000,60672000,70784000,75840000,80896000,318530000,101120000,85952000,273020000,116290000,384260000,424700000,404480000,80896000,465150000,283140000,869630000,455040000,348860000,379200000,85952000,945470000,662340000,207300000,626940000,793790000,763460000,91008000,1122400000,106180000,85952000,197180000,65728000,1324700000
5,argH,136510000,156740000,156740000,434820000,55616000,141570000,121340000,146620000,404480000,581440000,75840000,217410000,96064000,409540000,70784000,65728000,65728000,65728000,60672000,70784000,202240000,96064000,202240000,96064000,111230000,171900000,176960000,485380000,75840000,91008000,146620000,182020000,743230000,743230000,70784000,217410000,697730000,176960000,682560000,839300000,915140000,85952000,1087000000,80896000,70784000,91008000,55616000,1243800000
6,proC,106180000,91008000,91008000,930300000,131460000,70784000,864580000,652220000,318530000,1178000000,146620000,515710000,278080000,632000000,70784000,91008000,65728000,197180000,1178000000,217410000,91008000,85952000,96064000,192130000,101120000,101120000,91008000,854460000,136510000,75840000,930300000,707840000,197180000,1264000000,116290000,566270000,176960000,141570000,449980000,889860000,788740000,702780000,1248800000,106180000,96064000,192130000,45504000,1299400000
7,icd,116290000,156740000,146620000,879740000,106180000,677500000,60672000,940420000,1051600000,1198300000,187070000,859520000,106180000,955580000,96064000,111230000,65728000,80896000,91008000,303360000,930300000,106180000,161790000,136510000,106180000,161790000,151680000,854460000,136510000,611780000,96064000,874690000,1511700000,1173000000,176960000,859520000,399420000,237630000,697730000,1294300000,915140000,940420000,293250000,996030000,808960000,758400000,75840000,1435900000
8,nadC,75840000,75840000,75840000,288190000,126400000,955580000,1016300000,35392000,80896000,96064000,65728000,970750000,96064000,1107300000,101120000,85952000,106180000,96064000,141570000,232580000,91008000,80896000,96064000,131460000,96064000,75840000,80896000,343810000,151680000,950530000,990980000,70784000,75840000,65728000,80896000,990980000,581440000,192130000,753340000,824130000,814020000,222460000,1203300000,637060000,449980000,925250000,55616000,1309500000
9,panB,85952000,70784000,70784000,197180000,829180000,657280000,1076900000,60672000,91008000,60672000,80896000,227520000,75840000,1567400000,637060000,70784000,611780000,1112300000,1274100000,1102200000,45504000,65728000,91008000,146620000,116290000,151680000,864580000,202240000,156740000,106180000,161790000,131460000,146620000,156740000,1456100000,1087000000,1167900000,1051600000,1092100000,1643200000,1542100000,106180000,1299400000,91008000,111230000,80896000,121340000,1294300000
