,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
15,glnA,116290000,75840000,75840000,91008000,85952000,75840000,75840000,80896000,80896000,80896000,65728000,80896000,101120000,75840000,65728000,65728000,60672000,60672000,55616000,75840000,80896000,85952000,80896000,75840000,116290000,75840000,75840000,80896000,80896000,80896000,80896000,91008000,91008000,91008000,85952000,101120000,111230000,70784000,85952000,217410000,146620000,70784000,85952000,85952000,85952000,96064000,75840000,788740000
16,serA,91008000,91008000,91008000,85952000,70784000,85952000,101120000,70784000,91008000,80896000,85952000,126400000,96064000,85952000,75840000,70784000,65728000,75840000,75840000,75840000,85952000,96064000,111230000,121340000,96064000,96064000,91008000,91008000,96064000,91008000,91008000,101120000,106180000,101120000,131460000,126400000,85952000,85952000,96064000,182020000,131460000,85952000,96064000,80896000,85952000,85952000,75840000,783680000
17,hisB,96064000,91008000,70784000,96064000,80896000,75840000,80896000,75840000,70784000,75840000,75840000,106180000,111230000,116290000,85952000,96064000,85952000,101120000,96064000,91008000,75840000,106180000,126400000,91008000,106180000,85952000,75840000,91008000,85952000,80896000,80896000,75840000,91008000,91008000,111230000,101120000,111230000,96064000,131460000,273020000,278080000,85952000,91008000,80896000,91008000,91008000,65728000,889860000
18,hisC,80896000,70784000,80896000,75840000,75840000,80896000,70784000,70784000,91008000,75840000,70784000,136510000,106180000,96064000,75840000,96064000,75840000,85952000,91008000,80896000,80896000,101120000,106180000,141570000,85952000,65728000,70784000,70784000,65728000,65728000,60672000,70784000,80896000,80896000,96064000,111230000,101120000,85952000,136510000,288190000,283140000,85952000,85952000,96064000,96064000,91008000,85952000,849410000
19,hisD,96064000,65728000,75840000,85952000,80896000,80896000,80896000,75840000,70784000,60672000,75840000,91008000,126400000,101120000,80896000,101120000,96064000,101120000,101120000,91008000,126400000,101120000,111230000,96064000,101120000,65728000,70784000,75840000,70784000,65728000,65728000,75840000,85952000,80896000,85952000,96064000,106180000,80896000,126400000,267970000,262910000,91008000,91008000,85952000,85952000,91008000,70784000,854460000
20,hisI,75840000,85952000,85952000,96064000,80896000,75840000,96064000,80896000,75840000,80896000,80896000,121340000,85952000,96064000,80896000,75840000,75840000,96064000,85952000,70784000,75840000,106180000,111230000,116290000,80896000,80896000,70784000,70784000,70784000,80896000,70784000,65728000,80896000,80896000,85952000,106180000,96064000,91008000,121340000,328640000,227520000,85952000,96064000,91008000,91008000,91008000,85952000,808960000
21,metA,106180000,65728000,85952000,85952000,85952000,75840000,96064000,75840000,70784000,75840000,70784000,91008000,111230000,85952000,96064000,96064000,96064000,101120000,85952000,96064000,75840000,111230000,116290000,91008000,101120000,70784000,75840000,70784000,70784000,60672000,60672000,70784000,65728000,70784000,80896000,85952000,111230000,80896000,192130000,267970000,288190000,85952000,136510000,80896000,91008000,85952000,80896000,803900000
22,guaA,85952000,91008000,75840000,91008000,85952000,80896000,85952000,70784000,85952000,85952000,70784000,116290000,126400000,116290000,101120000,96064000,101120000,101120000,101120000,96064000,101120000,96064000,106180000,96064000,106180000,80896000,65728000,70784000,60672000,55616000,75840000,75840000,80896000,70784000,70784000,101120000,101120000,101120000,126400000,207300000,176960000,91008000,96064000,96064000,91008000,96064000,65728000,829180000
23,guaB,111230000,106180000,96064000,91008000,101120000,75840000,96064000,85952000,91008000,101120000,96064000,106180000,121340000,121340000,106180000,116290000,111230000,106180000,101120000,101120000,116290000,111230000,111230000,141570000,111230000,80896000,75840000,70784000,65728000,60672000,75840000,70784000,80896000,75840000,75840000,116290000,121340000,116290000,116290000,182020000,182020000,106180000,116290000,101120000,101120000,111230000,80896000,915140000
24,purA,85952000,85952000,80896000,91008000,75840000,75840000,106180000,65728000,96064000,80896000,80896000,121340000,96064000,96064000,91008000,85952000,70784000,91008000,96064000,80896000,80896000,101120000,121340000,121340000,91008000,80896000,85952000,75840000,75840000,75840000,80896000,85952000,85952000,75840000,75840000,116290000,96064000,91008000,141570000,222460000,273020000,91008000,85952000,91008000,85952000,96064000,80896000,899970000
