,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,106180000,75840000,60672000,151680000,65728000,70784000,85952000,85952000,70784000,55616000,75840000,131460000,111230000,121340000,80896000,85952000,75840000,75840000,85952000,96064000,70784000,106180000,106180000,70784000,116290000,85952000,75840000,75840000,70784000,70784000,80896000,80896000,131460000,131460000,60672000,136510000,176960000,126400000,308420000,1056700000,864580000,85952000,358980000,91008000,85952000,75840000,50560000,1122400000
2,argB,60672000,91008000,75840000,313470000,106180000,101120000,116290000,60672000,80896000,65728000,70784000,156740000,65728000,101120000,75840000,80896000,85952000,80896000,70784000,96064000,161790000,111230000,217410000,126400000,85952000,75840000,106180000,85952000,80896000,111230000,111230000,116290000,146620000,131460000,308420000,176960000,161790000,96064000,374140000,920190000,869630000,80896000,859520000,75840000,75840000,75840000,60672000,1152800000
3,argC,85952000,60672000,55616000,318530000,121340000,85952000,96064000,75840000,60672000,55616000,75840000,91008000,106180000,85952000,70784000,96064000,96064000,80896000,75840000,80896000,131460000,106180000,187070000,85952000,101120000,65728000,85952000,96064000,91008000,121340000,111230000,116290000,156740000,146620000,308420000,146620000,146620000,85952000,353920000,950530000,864580000,60672000,899970000,75840000,70784000,80896000,50560000,1107300000
4,argE,116290000,252800000,267970000,75840000,131460000,80896000,202240000,101120000,121340000,126400000,141570000,187070000,85952000,121340000,116290000,80896000,91008000,91008000,80896000,121340000,85952000,106180000,156740000,126400000,96064000,75840000,96064000,85952000,85952000,91008000,106180000,106180000,126400000,106180000,606720000,187070000,136510000,85952000,358980000,935360000,854460000,85952000,712900000,75840000,70784000,91008000,65728000,1071900000
5,argH,116290000,101120000,121340000,146620000,70784000,80896000,85952000,101120000,121340000,106180000,80896000,131460000,111230000,96064000,85952000,80896000,85952000,80896000,65728000,85952000,96064000,101120000,161790000,96064000,111230000,70784000,85952000,85952000,91008000,96064000,96064000,101120000,136510000,126400000,151680000,121340000,141570000,96064000,313470000,854460000,672450000,65728000,247740000,75840000,85952000,75840000,60672000,1092100000
6,proC,85952000,75840000,65728000,80896000,80896000,70784000,182020000,85952000,70784000,80896000,70784000,171900000,96064000,126400000,60672000,60672000,96064000,75840000,96064000,101120000,80896000,96064000,101120000,136510000,80896000,70784000,85952000,101120000,85952000,91008000,80896000,85952000,116290000,111230000,141570000,136510000,111230000,80896000,146620000,434820000,176960000,75840000,242690000,75840000,70784000,70784000,65728000,1162900000
7,icd,101120000,106180000,111230000,419650000,101120000,197180000,75840000,278080000,126400000,207300000,116290000,778620000,101120000,171900000,80896000,75840000,96064000,80896000,126400000,176960000,374140000,111230000,141570000,121340000,126400000,80896000,96064000,91008000,91008000,212350000,91008000,96064000,121340000,116290000,207300000,303360000,166850000,96064000,455040000,970750000,1031400000,252800000,141570000,192130000,212350000,273020000,50560000,1183100000
8,nadC,106180000,75840000,65728000,101120000,91008000,96064000,212350000,65728000,80896000,70784000,75840000,182020000,85952000,106180000,70784000,70784000,55616000,70784000,70784000,101120000,75840000,96064000,106180000,121340000,80896000,70784000,80896000,75840000,70784000,80896000,75840000,91008000,80896000,75840000,308420000,298300000,126400000,121340000,202240000,616830000,535940000,85952000,925250000,75840000,80896000,111230000,60672000,1097200000
9,panB,101120000,91008000,70784000,136510000,106180000,101120000,85952000,85952000,70784000,70784000,80896000,1107300000,111230000,1390400000,96064000,101120000,85952000,96064000,91008000,91008000,65728000,96064000,136510000,101120000,106180000,106180000,723010000,126400000,101120000,80896000,96064000,101120000,116290000,101120000,798850000,1238700000,1137600000,207300000,1233700000,1284200000,1365100000,85952000,293250000,80896000,85952000,75840000,70784000,1112300000
