,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
16,15172000,0,5056000,10112000,15168000,91008000,70780000,10112000,20222000,15168000,5056000,40450000,-25280000,5056000,-5056000,55616000,-5056000,-5056000,156740000,0,-5056000,-5056000,30340000,5060000,10116000,5056000,0,30332000,-10112000,10112000,10112000,5060000,40440000,40450000,252800000,15170000,50558000,25278000,217406000,687610000,444920000,10112000,75836000,10112000,5056000,30338000,35390000,576420000
17,15166000,10112000,20224000,25276000,35394000,45500000,15168000,15168000,116286000,85950000,0,45500000,5060000,35390000,-10112000,0,5056000,5060000,10116000,-10112000,374140000,5050000,-10110000,10112000,0,10112000,10112000,0,-15168000,30334000,30334000,40450000,65732000,50562000,75840000,60670000,30340000,20226000,60670000,460100000,212350000,15168000,116292000,10112000,10112000,5056000,-10112000,475240000
18,0,15168000,15168000,35390000,25280000,677504000,30336000,10112000,303362000,192130000,20224000,10110000,20220000,55616000,5056000,-5056000,10112000,15168000,30332000,-5056000,707844000,30340000,15160000,-25280000,0,10112000,-5056000,0,0,25280000,30336000,40446000,121344000,91004000,96066000,60670000,217410000,30338000,75840000,439870000,207290000,25278000,126398000,10116000,5056000,10112000,-10112000,475290000
19,45506000,20224000,20224000,35388000,20224000,1162904000,60674000,106180000,1264016000,1461228000,80900000,1178092000,146620000,965680000,10112000,151680000,35396000,15170000,-15168000,273022000,1173000000,10110000,0,25276000,15170000,15168000,0,20224000,0,35392000,25280000,40450000,55618000,85954000,252798000,131456000,141560000,30334000,141570000,667390000,510660000,111232000,859522000,15168000,20228000,25282000,15168000,480340000
20,40450000,35388000,30338000,288196000,10112000,182020000,247746000,182014000,1056660000,1061804000,5056000,70790000,5056000,106176000,15168000,0,-10112000,5056000,96068000,-10112000,839300000,25280000,20230000,5050000,5056000,-10112000,-10112000,0,10112000,20224000,35396000,35392000,293244000,267964000,237628000,141560000,389316000,20222000,75840000,500540000,530880000,35388000,980836000,10112000,5056000,10112000,-5056000,434840000
21,5050000,1087072000,1021348000,262908000,176958000,1167960000,1314536000,-5056000,-5056000,-20224000,20224000,0,-10110000,20228000,257856000,-15168000,384256000,353920000,1087048000,819076000,-10112000,20230000,25280000,-10112000,5060000,0,10112000,10112000,0,5056000,30336000,80896000,80892000,101116000,1071904000,839298000,889870000,409534000,788730000,768530000,778610000,25278000,1092090000,101124000,121342000,136508000,-5056000,460100000
22,20228000,35392000,35390000,50562000,25278000,35394000,35388000,5056000,5056000,10112000,20224000,15170000,-5060000,50560000,0,20226000,25280000,20220000,20220000,25276000,40450000,20226000,15160000,-10112000,-5060000,-5056000,0,-5056000,5056000,10112000,-5056000,5056000,20224000,30336000,176956000,25280000,101120000,30340000,131460000,621880000,561220000,30332000,222466000,15166000,20222000,20226000,15168000,480320000
23,5060000,348860000,197186000,146622000,50560000,15168000,40446000,15168000,15172000,20220000,15166000,30330000,25280000,20230000,15160000,-5060000,5060000,0,10110000,10110000,30330000,5060000,-10110000,-5060000,-20222000,15168000,10112000,0,5056000,20224000,10112000,35396000,10112000,20224000,30340000,70780000,35400000,15170000,80890000,540990000,485370000,5050000,1026410000,10110000,15170000,10110000,20224000,419660000
24,20228000,0,5056000,0,10112000,111230000,30330000,5056000,20226000,0,0,30340000,5056000,30336000,-25280000,-10112000,15168000,-10112000,-5056000,10112000,20224000,30340000,30340000,5060000,10112000,25284000,-5056000,-10112000,0,5056000,5056000,0,15168000,25280000,91010000,35390000,35396000,20222000,111230000,91010000,323590000,0,35388000,-10112000,35388000,-20224000,-5056000,429730000
25,5056000,5056000,10112000,30332000,35388000,348864000,30340000,5056000,5056000,5056000,5056000,20224000,10116000,30332000,10112000,10112000,25284000,35394000,45500000,35390000,80900000,20220000,10110000,35388000,-15166000,-10112000,-30336000,-10112000,-15168000,0,25282000,30332000,70782000,80898000,171900000,30338000,70780000,20230000,217410000,702780000,540990000,15166000,262910000,10110000,15170000,5060000,-10112000,470180000
