,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,101120000,262910000,91008000,712900000,116290000,192130000,80896000,85952000,70784000,55616000,75840000,1076900000,91008000,773570000,70784000,75840000,65728000,70784000,91008000,121340000,55616000,111230000,111230000,75840000,101120000,101120000,91008000,106180000,80896000,101120000,106180000,116290000,182020000,176960000,338750000,834240000,960640000,288190000,899970000,1122400000,894910000,126400000,1132500000,126400000,131460000,126400000,55616000,1329700000
2,argB,121340000,96064000,85952000,460100000,171900000,101120000,197180000,70784000,85952000,75840000,75840000,182020000,101120000,1041500000,141570000,60672000,65728000,60672000,60672000,106180000,1299400000,131460000,500540000,116290000,111230000,106180000,121340000,106180000,121340000,348860000,187070000,232580000,358980000,308420000,930300000,1031400000,864580000,156740000,788740000,854460000,899970000,85952000,1157800000,75840000,106180000,116290000,96064000,1385300000
3,argC,131460000,60672000,55616000,535940000,176960000,106180000,227520000,65728000,70784000,75840000,70784000,126400000,106180000,1031400000,116290000,80896000,70784000,70784000,50560000,101120000,970750000,111230000,358980000,65728000,121340000,106180000,101120000,111230000,116290000,530880000,176960000,222460000,389310000,323580000,950530000,889860000,803900000,146620000,738180000,920190000,859520000,80896000,1274100000,80896000,75840000,116290000,55616000,1314600000
4,argE,475260000,444930000,409540000,75840000,278080000,510660000,940420000,632000000,414590000,399420000,85952000,1011200000,116290000,1122400000,449980000,60672000,70784000,70784000,80896000,460100000,101120000,116290000,293250000,111230000,106180000,126400000,106180000,116290000,121340000,247740000,217410000,343810000,328640000,273020000,905020000,798850000,596610000,192130000,632000000,824130000,743230000,96064000,1203300000,101120000,116290000,232580000,75840000,1243800000
5,argH,131460000,192130000,192130000,303360000,80896000,161790000,146620000,202240000,591550000,591550000,80896000,283140000,101120000,424700000,70784000,65728000,65728000,75840000,45504000,70784000,252800000,111230000,212350000,75840000,116290000,116290000,111230000,106180000,121340000,171900000,131460000,141570000,242690000,202240000,1350000000,414590000,707840000,146620000,738180000,980860000,884800000,91008000,1066800000,80896000,80896000,91008000,60672000,1284200000
6,proC,197180000,101120000,96064000,970750000,121340000,80896000,879740000,975810000,399420000,1294300000,121340000,738180000,313470000,814020000,65728000,75840000,75840000,156740000,1142700000,358980000,121340000,91008000,91008000,166850000,136510000,207300000,151680000,414590000,116290000,308420000,131460000,192130000,247740000,293250000,869630000,1188200000,182020000,126400000,606720000,985920000,798850000,409540000,1213400000,126400000,131460000,298300000,45504000,1370200000
7,icd,111230000,176960000,151680000,859520000,141570000,728060000,65728000,1238700000,1127500000,1203300000,136510000,889860000,96064000,925250000,65728000,75840000,55616000,70784000,70784000,389310000,899970000,111230000,141570000,121340000,146620000,111230000,131460000,136510000,131460000,697730000,111230000,106180000,166850000,166850000,515710000,930300000,379200000,222460000,728060000,935360000,1087000000,1173000000,257860000,920190000,793790000,733120000,65728000,1405600000
8,nadC,101120000,75840000,75840000,353920000,156740000,1001100000,1365100000,70784000,91008000,80896000,96064000,1026400000,70784000,1087000000,85952000,55616000,50560000,65728000,91008000,293250000,80896000,80896000,101120000,106180000,96064000,116290000,85952000,111230000,96064000,161790000,106180000,146620000,101120000,106180000,1203300000,1001100000,556160000,197180000,748290000,985920000,758400000,318530000,1430800000,576380000,490430000,854460000,116290000,1274100000
9,panB,106180000,85952000,91008000,1082000000,581440000,1299400000,1238700000,96064000,116290000,70784000,91008000,1051600000,91008000,1532000000,824130000,96064000,187070000,717950000,1279200000,1036500000,50560000,111230000,126400000,106180000,111230000,121340000,910080000,156740000,101120000,91008000,176960000,126400000,141570000,146620000,1294300000,1188200000,1410600000,1228600000,1294300000,1451100000,1451100000,101120000,1152800000,85952000,85952000,85952000,96064000,1334800000
10,panD,75840000,91008000,70784000,257860000,910080000,1269100000,1142700000,80896000,85952000,75840000,91008000,1001100000,50560000,1415700000,419650000,65728000,404480000,1056700000,1284200000,1137600000,55616000,106180000,131460000,171900000,80896000,116290000,829180000,136510000,116290000,85952000,182020000,121340000,136510000,141570000,1350000000,1157800000,1395500000,1127500000,1314600000,1400500000,1334800000,111230000,1122400000,65728000,70784000,65728000,65728000,1415700000
11,serC,131460000,80896000,80896000,111230000,106180000,156740000,182020000,65728000,80896000,70784000,70784000,111230000,85952000,60672000,45504000,60672000,60672000,60672000,101120000,50560000,60672000,80896000,106180000,70784000,91008000,55616000,75840000,85952000,80896000,80896000,91008000,101120000,146620000,141570000,242690000,96064000,166850000,85952000,561220000,950530000,753340000,85952000,121340000,75840000,75840000,85952000,55616000,1319600000
12,cysC,717950000,121340000,116290000,945470000,237630000,748290000,884800000,894910000,915140000,814020000,106180000,141570000,80896000,96064000,126400000,80896000,85952000,85952000,1451100000,187070000,80896000,91008000,96064000,146620000,101120000,101120000,85952000,101120000,111230000,156740000,146620000,187070000,252800000,252800000,1344900000,884800000,884800000,596610000,834240000,910080000,930300000,642110000,1127500000,460100000,500540000,530880000,80896000,1279200000
13,cysE,121340000,65728000,80896000,106180000,75840000,288190000,60672000,70784000,70784000,65728000,60672000,101120000,85952000,80896000,55616000,45504000,45504000,75840000,60672000,50560000,55616000,75840000,91008000,80896000,101120000,60672000,75840000,70784000,70784000,75840000,106180000,101120000,151680000,156740000,141570000,91008000,106180000,75840000,136510000,202240000,910080000,60672000,156740000,75840000,96064000,70784000,50560000,1355000000
14,cysH,910080000,470210000,1031400000,975810000,495490000,824130000,1026400000,894910000,1036500000,1031400000,91008000,171900000,96064000,96064000,121340000,75840000,96064000,91008000,1511700000,262910000,75840000,91008000,91008000,131460000,96064000,91008000,80896000,85952000,101120000,166850000,161790000,217410000,293250000,313470000,1107300000,889860000,920190000,768510000,1031400000,1041500000,1127500000,1102200000,1167900000,697730000,621890000,889860000,85952000,1385300000
