,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
1,ppc,80896000,85952000,65728000,80896000,75840000,55616000,70784000,91008000,40448000,55616000,60672000,85952000,116290000,101120000,70784000,80896000,80896000,70784000,75840000,70784000,65728000,91008000,75840000,80896000,96064000,85952000,75840000,85952000,70784000,75840000,85952000,80896000,70784000,75840000,80896000,91008000,101120000,121340000,121340000,434820000,369090000,80896000,85952000,80896000,70784000,75840000,65728000,748290000
2,argB,65728000,65728000,70784000,146620000,85952000,91008000,85952000,60672000,70784000,50560000,65728000,136510000,80896000,80896000,70784000,65728000,75840000,65728000,60672000,70784000,70784000,70784000,85952000,121340000,85952000,75840000,80896000,156740000,96064000,80896000,101120000,91008000,96064000,80896000,80896000,141570000,91008000,80896000,151680000,535940000,439870000,80896000,91008000,75840000,75840000,65728000,60672000,743230000
3,argC,91008000,45504000,50560000,131460000,85952000,65728000,65728000,55616000,60672000,50560000,55616000,80896000,106180000,75840000,80896000,65728000,65728000,65728000,55616000,70784000,55616000,50560000,65728000,70784000,106180000,70784000,70784000,141570000,106180000,75840000,101120000,91008000,85952000,91008000,70784000,85952000,96064000,75840000,146620000,510660000,409540000,60672000,96064000,75840000,70784000,65728000,55616000,808960000
4,argE,91008000,80896000,141570000,70784000,75840000,70784000,80896000,70784000,70784000,70784000,70784000,136510000,85952000,91008000,75840000,60672000,70784000,50560000,55616000,65728000,55616000,35392000,60672000,101120000,85952000,91008000,126400000,75840000,85952000,91008000,101120000,85952000,101120000,101120000,91008000,136510000,80896000,75840000,126400000,424700000,353920000,70784000,85952000,65728000,70784000,75840000,65728000,839300000
5,argH,96064000,65728000,70784000,70784000,65728000,70784000,65728000,55616000,70784000,65728000,60672000,85952000,106180000,75840000,60672000,55616000,65728000,45504000,55616000,50560000,60672000,40448000,85952000,80896000,101120000,75840000,91008000,85952000,85952000,85952000,91008000,85952000,101120000,96064000,80896000,96064000,101120000,70784000,131460000,394370000,257860000,91008000,75840000,75840000,80896000,75840000,65728000,748290000
6,proC,65728000,70784000,75840000,60672000,75840000,60672000,85952000,65728000,60672000,70784000,60672000,131460000,91008000,80896000,55616000,50560000,55616000,50560000,65728000,55616000,55616000,60672000,40448000,96064000,60672000,80896000,70784000,75840000,80896000,80896000,111230000,85952000,101120000,91008000,85952000,111230000,85952000,70784000,65728000,161790000,101120000,80896000,80896000,75840000,75840000,75840000,55616000,773570000
7,icd,106180000,91008000,75840000,80896000,75840000,106180000,65728000,70784000,65728000,70784000,116290000,343810000,111230000,91008000,70784000,65728000,55616000,70784000,70784000,106180000,70784000,70784000,85952000,101120000,101120000,80896000,85952000,111230000,96064000,91008000,75840000,96064000,91008000,96064000,136510000,318530000,121340000,80896000,161790000,576380000,480320000,91008000,101120000,116290000,126400000,116290000,60672000,1026400000
8,nadC,80896000,65728000,65728000,60672000,80896000,75840000,80896000,45504000,70784000,60672000,80896000,141570000,101120000,91008000,80896000,70784000,75840000,80896000,75840000,70784000,80896000,65728000,80896000,101120000,91008000,75840000,75840000,91008000,85952000,85952000,96064000,85952000,91008000,85952000,80896000,126400000,91008000,91008000,91008000,182020000,141570000,85952000,111230000,85952000,85952000,85952000,75840000,839300000
9,panB,91008000,65728000,65728000,96064000,80896000,70784000,80896000,60672000,55616000,55616000,75840000,85952000,106180000,242690000,75840000,91008000,80896000,80896000,85952000,80896000,60672000,80896000,91008000,65728000,96064000,106180000,141570000,96064000,96064000,91008000,91008000,85952000,85952000,91008000,111230000,247740000,116290000,126400000,80896000,293250000,227520000,80896000,91008000,80896000,85952000,80896000,70784000,667390000
10,panD,60672000,70784000,70784000,80896000,80896000,70784000,75840000,70784000,70784000,55616000,75840000,151680000,75840000,141570000,75840000,75840000,75840000,75840000,65728000,85952000,70784000,70784000,85952000,121340000,96064000,85952000,131460000,96064000,91008000,85952000,80896000,85952000,80896000,70784000,141570000,247740000,96064000,91008000,106180000,434820000,202240000,85952000,91008000,80896000,85952000,75840000,70784000,672450000
11,serC,91008000,60672000,60672000,70784000,80896000,65728000,96064000,60672000,55616000,55616000,55616000,65728000,101120000,80896000,65728000,85952000,85952000,70784000,75840000,70784000,75840000,60672000,85952000,65728000,111230000,80896000,80896000,91008000,91008000,80896000,70784000,75840000,75840000,80896000,111230000,85952000,91008000,80896000,106180000,227520000,136510000,70784000,80896000,80896000,70784000,70784000,70784000,753340000
12,cysC,80896000,80896000,85952000,85952000,85952000,91008000,323580000,80896000,85952000,101120000,75840000,126400000,111230000,91008000,91008000,80896000,106180000,101120000,96064000,85952000,101120000,91008000,80896000,131460000,106180000,106180000,116290000,96064000,106180000,106180000,96064000,91008000,106180000,106180000,141570000,171900000,101120000,106180000,222460000,561220000,515710000,96064000,111230000,91008000,96064000,96064000,75840000,778620000
13,cysE,91008000,70784000,65728000,75840000,75840000,65728000,50560000,60672000,60672000,60672000,65728000,80896000,96064000,85952000,75840000,75840000,91008000,75840000,75840000,75840000,70784000,75840000,80896000,70784000,106180000,75840000,80896000,75840000,80896000,70784000,70784000,80896000,75840000,85952000,106180000,96064000,101120000,70784000,85952000,116290000,111230000,70784000,75840000,80896000,80896000,85952000,60672000,758400000
14,cysH,91008000,85952000,75840000,91008000,85952000,91008000,96064000,85952000,75840000,91008000,70784000,131460000,91008000,101120000,80896000,85952000,111230000,80896000,91008000,80896000,85952000,101120000,80896000,121340000,96064000,96064000,85952000,85952000,85952000,91008000,96064000,91008000,85952000,96064000,131460000,161790000,96064000,106180000,192130000,485380000,419650000,96064000,121340000,85952000,85952000,91008000,70784000,758400000
15,glnA,101120000,65728000,70784000,75840000,70784000,55616000,65728000,60672000,65728000,65728000,70784000,70784000,101120000,85952000,70784000,65728000,65728000,60672000,75840000,96064000,85952000,91008000,91008000,70784000,101120000,75840000,80896000,85952000,85952000,75840000,80896000,96064000,85952000,96064000,91008000,91008000,111230000,65728000,106180000,207300000,141570000,70784000,91008000,85952000,91008000,96064000,65728000,712900000
16,serA,91008000,80896000,85952000,75840000,65728000,75840000,96064000,96064000,80896000,70784000,75840000,126400000,91008000,96064000,75840000,80896000,70784000,70784000,80896000,70784000,85952000,75840000,96064000,116290000,91008000,91008000,91008000,85952000,85952000,96064000,91008000,101120000,96064000,101120000,136510000,121340000,91008000,85952000,96064000,171900000,131460000,85952000,91008000,80896000,91008000,80896000,75840000,621890000
17,hisB,91008000,96064000,60672000,80896000,75840000,70784000,75840000,75840000,55616000,65728000,70784000,91008000,126400000,106180000,85952000,85952000,111230000,91008000,85952000,85952000,116290000,111230000,116290000,101120000,101120000,91008000,80896000,85952000,75840000,75840000,80896000,70784000,85952000,80896000,75840000,91008000,116290000,96064000,111230000,252800000,252800000,85952000,80896000,91008000,85952000,91008000,70784000,728060000
18,hisC,55616000,70784000,75840000,75840000,75840000,70784000,70784000,65728000,75840000,70784000,70784000,136510000,101120000,91008000,91008000,96064000,96064000,91008000,85952000,91008000,101120000,96064000,106180000,121340000,85952000,75840000,75840000,60672000,60672000,55616000,55616000,45504000,50560000,80896000,85952000,111230000,96064000,85952000,126400000,283140000,267970000,85952000,91008000,91008000,91008000,91008000,80896000,728060000
19,hisD,85952000,75840000,55616000,80896000,70784000,75840000,70784000,65728000,70784000,65728000,50560000,70784000,121340000,96064000,70784000,91008000,96064000,85952000,80896000,80896000,111230000,106180000,106180000,101120000,96064000,60672000,60672000,70784000,55616000,40448000,50560000,40448000,50560000,65728000,60672000,75840000,106180000,85952000,111230000,247740000,242690000,85952000,96064000,96064000,91008000,96064000,65728000,788740000
20,hisI,85952000,80896000,80896000,75840000,80896000,75840000,80896000,60672000,70784000,75840000,80896000,126400000,111230000,101120000,91008000,85952000,91008000,75840000,91008000,80896000,91008000,80896000,116290000,121340000,85952000,85952000,70784000,70784000,70784000,70784000,70784000,50560000,65728000,65728000,101120000,111230000,101120000,91008000,121340000,353920000,247740000,91008000,101120000,85952000,96064000,91008000,85952000,733120000
21,metA,96064000,55616000,70784000,75840000,75840000,65728000,70784000,60672000,65728000,65728000,70784000,96064000,106180000,96064000,85952000,70784000,96064000,96064000,80896000,70784000,91008000,91008000,106180000,75840000,101120000,85952000,75840000,70784000,70784000,50560000,65728000,55616000,65728000,65728000,106180000,85952000,111230000,75840000,151680000,262910000,313470000,75840000,111230000,91008000,96064000,91008000,80896000,692670000
22,guaA,96064000,101120000,91008000,85952000,85952000,75840000,91008000,75840000,85952000,85952000,85952000,111230000,111230000,121340000,106180000,121340000,131460000,91008000,111230000,101120000,111230000,96064000,96064000,101120000,96064000,75840000,70784000,35392000,45504000,30336000,50560000,40448000,40448000,35392000,55616000,96064000,91008000,101120000,116290000,222460000,202240000,96064000,101120000,96064000,106180000,101120000,80896000,733120000
23,guaB,111230000,136510000,101120000,101120000,116290000,91008000,111230000,91008000,96064000,101120000,111230000,121340000,101120000,136510000,126400000,126400000,121340000,106180000,85952000,101120000,106180000,111230000,111230000,126400000,116290000,80896000,80896000,65728000,65728000,50560000,60672000,70784000,50560000,85952000,70784000,116290000,126400000,121340000,121340000,182020000,192130000,126400000,126400000,116290000,121340000,111230000,96064000,788740000
24,purA,75840000,80896000,60672000,85952000,80896000,70784000,121340000,60672000,75840000,80896000,80896000,126400000,106180000,116290000,91008000,101120000,96064000,116290000,80896000,96064000,106180000,96064000,111230000,131460000,91008000,85952000,85952000,91008000,80896000,85952000,85952000,75840000,80896000,91008000,80896000,126400000,96064000,96064000,156740000,283140000,323580000,91008000,96064000,96064000,101120000,91008000,75840000,793790000
