Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
LIPAHTex,Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),h_e + lipa_e + hdca_e  -> halipa_e + h2o_e ,2.3.1.251,21768.899999999998,46.809013666666665
ECAP1pp,Enterobacterial common antigen polymerase (periplasm),2 unagamuf_p  -> udcpdp_p + h_p + eca2und_p ,2.4.1.-,90985.70999999999,18.3185
UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),udcpdp_p + h2o_p  -> h_p + udcpp_p + pi_p ,3.6.1.27,27058.88333333333,9
ECAP2pp,Enterobacterial common antigen polymerase (periplasm),unagamuf_p + eca2und_p  -> udcpdp_p + h_p + eca3und_p ,2.4.1.-,90985.70999999999,18.3185
ECA4OALpp,Enterobacterial common antigen (x4) O-antigen ligase (periplasm),eca4und_p + colipa_p  -> udcpdp_p + h_p + eca4colipa_p ,2.4.1.-,46876.44,18.3185
FE3Ri,Fe(III) reduction,fadh2_c + 2 fe3_c  -> 2 h_c + 2 fe2_c + fad_c ,"1.16.1.3, 1.5.1.41",26241.19,17.37
SULFACtex_f,Sulfoaceate transport via diffusion (extracellular to periplasm),sulfac_e  -> sulfac_p ,,39959.4825,100000000
NODOy,Nitric oxide dioxygenase,2 o2_c + 2 no_c + nadph_c  -> h_c + nadp_c + 2 no3_c ,1.14.12.17,43866.35999999999,670
GALM2pp,Aldose-1-epimerase,gal_bD_p  -> gal_p ,5.1.3.3,38189.19,12000
CU1abcpp,Copper (Cu +1) ABC transporter (periplasm),atp_c + h2o_c + cu_c  -> h_c + adp_c + pi_c + cu_p ,3.6.3.54,87870.73999999999,95.19583333333334
HG2abcpp,Mercury (Hg+2) ABC transporter (periplasm),hg2_c + atp_c + h2o_c  -> h_c + adp_c + pi_c + hg2_p ,3.6.3.5,76837.9,300
GLCTR3,Glucosyltransferase III (LPS core synthesis),ggagicolipa_c + udpg_c  -> h_c + gggagicolipa_c + udp_c ,2.4.1.58,39039.22,4.3575458106060605
HEPT4,Heptosyltransferase IV (LPS core synthesis),adphep_LD_c + gggagicolipa_c  -> h_c + adp_c + colipa_c ,2.4.1.56,41728.159999999996,18.3185
LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",colipa_p + uLa4n_p  -> udcpp_p + acolipa_p ,2.4.2.43,62540.899999999994,24.053062500000006
NODOx,Nitric oxide dioxygenase,2 o2_c + 2 no_c + nadh_c  -> h_c + nad_c + 2 no3_c ,1.14.12.17,43866.35999999999,360
NOtex_f,Nitric oxide transport via diffusion (extracellular to periplasm),no_e  -> no_p ,,39959.4825,100000000
NHFRBO,NADH:flavorubredoxin oxidoreductase,h_c + 2 no_c + nadh_c  -> nad_c + n2o_c + h2o_c ,1.18.1.-,95616.87,316.15
N2Otex_f,Nitrious oxide transport via diffusion (extracellular to periplasm),n2o_e  -> n2o_p ,,39959.4825,100000000
CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn_p + crn__D_c  -> crn__D_p + crn_c ,,56585.76000000001,22
CRNt2rpp_f,L-carnitine outward transport (H+ antiport),h_p + crn_p  -> h_c + crn_c ,,54844.33,22
CRNDt2rpp_f,D-carnitine outward transport (H+ antiport),h_p + crn__D_p  -> h_c + crn__D_c ,,54844.33,22
CTBTt2rpp_f,Cronobetaine outward transport (H+ antiport),ctbt_p + h_p  -> h_c + ctbt_c ,,54844.33,22
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",h2o_p + o2_p + dopa_p  -> nh4_p + 34dhpac_p + h2o2_p ,1.4.3.21,84375.94,86.03333333333335
TYROXDApp,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),h2o_p + o2_p + tym_p  -> nh4_p + h2o2_p + 4hoxpacd_p ,1.4.3.21,84375.94,2.7750000000000004
PEAMNtex_f,Phenethylamine transport via diffusion (extracellular to periplasm),peamn_e  -> peamn_p ,,39959.4825,100000000
PACALDtex_f,Phenethylacetaldehyde transport via diffusion (extracellular to periplasm),pacald_e  -> pacald_p ,,39959.4825,100000000
NTRIR4pp,"Nitrite Reductase (Menaquinole-8, periplasm)",2 h_p + no2_p + 3 mql8_c  -> 2 h2o_p + nh4_p + 3 mqn8_c ,1.7.2.2,133969.25,700
NTRIR3pp,"Nitrite Reductase (Ubiquinole-8, periplasm)",2 h_p + no2_p + 3 q8h2_c  -> 2 h2o_p + nh4_p + 3 q8_c ,1.7.2.2,133969.25,700
INOSTt4pp,Na+/myo-inositol symporter (periplasm),na1_p + inost_p  -> inost_c + na1_c ,,62083.36000000001,22
AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,anhgm3p_c + h2o_c  -> anhgm_c + LalaDgluMdap_c ,3.5.1.28,20535.53,25
CYANtex_f,Cyanide transport via diffusion (extracellular to periplasm),cyan_e  -> cyan_p ,,39959.4825,100000000
SO3tex_f,Sulfite transport via diffusion (extracellular to periplasm),so3_e  -> so3_p ,,39959.4825,100000000
TCYNTtex_f,Thiocyanate transport via diffusion (extracellular to periplasm),tcynt_e  -> tcynt_p ,,39959.4825,100000000
ACANTHAT,Acetyl-CoA:anthranilate acetyltransferase,accoa_c + anth_c  -> acanth_c + coa_c ,2.3.1.118,32273.659999999996,32.4876
METSOX1tex_f,L-methionine S-oxide diffusion (extracellular),metsox_S__L_e  -> metsox_S__L_p ,,39959.4825,100000000
METSOX2tex_f,L-methionine R-oxide diffusion (extracellular),metsox_R__L_e  -> metsox_R__L_p ,,39959.4825,100000000
3UMPtex_f,3UMP transport via diffusion (extracellular to periplasm),3ump_e  -> 3ump_p ,,39959.4825,100000000
3GMPtex_f,3GMP transport via diffusion (extracellular to periplasm),3gmp_e  -> 3gmp_p ,,39959.4825,100000000
METSOXR1,L-methionine-S-oxide reductase,trdrd_c + metsox_S__L_c  -> met__L_c + trdox_c + h2o_c ,1.8.4.11,68243.45999999999,0.048
METSOXR2,L-methionine-R-sulfoxide reductase,trdrd_c + metsox_R__L_c  -> met__L_c + trdox_c + h2o_c ,"1.8.4.12, 1.8.4.14",30448.145,3.455
DAPAL,"2,3-diaminopropionate amonnia lyase",23dappa_c + h2o_c  -> 2 nh4_c + pyr_c ,4.3.1.15,43326.38,24.6
AMPTASECG,Alanyl aminopeptidase (cys-gly),cgly_c + h2o_c  -> cys__L_c + gly_c ,3.4.11.1,63221.70749999999,38.75333333333333
DOPAtex_f,Dopamine transport via diffusion (extracellular to periplasm),dopa_e  -> dopa_p ,,39959.4825,100000000
4HOXPACDtex_f,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),4hoxpacd_e  -> 4hoxpacd_p ,,39959.4825,100000000
LACZpp,B-galactosidase,h2o_p + lcts_p  -> gal_p + glc__D_p ,3.2.1.21,83457.28,11.7
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),h2o_p + g3pc_p  -> h_p + chol_p + glyc3p_p ,3.1.4.46,40842.06,3.2
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),h2o_p + g3pi_p  -> h_p + inost_p + glyc3p_p ,3.1.4.46,40842.06,3.2
ETHAtex_f,Ethanolamine transport via diffusion (extracellular),etha_e  -> etha_p ,,39959.4825,100000000
G3PStex_f,Glycerophosphserine transport via diffusion (extracellular to periplasm),g3ps_e  -> g3ps_p ,,39959.4825,100000000
FLVR,Flavin reductase,h_c + ribflv_c + nadph_c  -> nadp_c + rbflvrd_c ,1.8.1.2,78243.57999999999,263.2083333333333
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),o2_c + fmnh2_c + mso3_c  -> h_c + fald_c + so3_c + h2o_c + fmn_c ,1.14.14.5,41735.05,0.86
LALGP,L-alanyl-gamma-L-glutamate peptidase,h2o_c + LalaLglu_c  -> glu__L_c + ala__L_c ,3.4.13.18,52913.88,0.7
AGM4PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),h2o_p + anhgm4p_p  -> LalaDgluMdapDala_p + anhgm_p ,3.5.1.28,39024.86000000001,25
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,anhgm4p_c + h2o_c  -> LalaDgluMdapDala_c + anhgm_c ,3.5.1.28,20535.53,25
RNDR3b,Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),grxrd_c + cdp_c  -> h2o_c + dcdp_c + grxox_c ,1.17.4.1,130894.995,8.115
RNDR4b,Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),grxrd_c + udp_c  -> dudp_c + h2o_c + grxox_c ,1.17.4.1,130894.995,8.115
ACGAL1Ptex_f,N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm),acgal1p_e  -> acgal1p_p ,,39959.4825,100000000
ACGALtex_f,N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),acgal_e  -> acgal_p ,,39959.4825,100000000
GLCUR1Ptex_f,D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),glcur1p_e  -> glcur1p_p ,,39959.4825,100000000
UDPGLCURtex_f,UDP-D-glucuronate transport via diffusion (extracellular to periplasm),udpglcur_e  -> udpglcur_p ,,39959.4825,100000000
UDPGALPpp,UDPgalactose pyrophosphohydrolase,h2o_p + udpgal_p  -> gal1p_p + 2 h_p + ump_p ,3.6.1.45,60822.09999999999,405
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase (periplasm),h2o_p + uacgam_p  -> 2 h_p + acgam1p_p + ump_p ,3.6.1.45,60822.09999999999,405
UACGALPpp,UDP-N-acetyl-D-galactosamine pyrophosphohydrolase (periplasm),h2o_p + udpacgal_p  -> 2 h_p + acgal1p_p + ump_p ,3.6.1.45,60822.09999999999,405
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase (periplasm),h2o_p + udpglcur_p  -> 2 h_p + glcur1p_p + ump_p ,"3.1.3.5, 3.6.1.45",60822.09999999999,207.42
FEROpp,Ferroxidase,4 fe2_p + 4 h_p + o2_p  -> 2 h2o_p + 4 fe3_p ,1.16.3.1,37524.509999999995,3.91
ISETACabcpp,Isethionate transport via ABC system (periplasm),isetac_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + isetac_c ,"3.6.3.-, 3.6.3.36",91759.59999999999,95.19583333333334
ISETACtex_f,Isethionate transport via diffusion (extracellular to periplasm),isetac_e  -> isetac_p ,,39959.4825,100000000
UDPGtex_f,UDPglucose transport via diffusion (extracellular to periplasm),udpg_e  -> udpg_p ,,39959.4825,100000000
UDPGALtex_f,UDPgalactose transport via diffusion (extracellular to periplasm),udpgal_e  -> udpgal_p ,,39959.4825,100000000
ACGAM1Ptex_f,N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm),acgam1p_e  -> acgam1p_p ,,39959.4825,100000000
UACGAMtex_f,UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),uacgam_e  -> uacgam_p ,,39959.4825,100000000
UDPACGALtex_f,UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm),udpacgal_e  -> udpacgal_p ,,39959.4825,100000000
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhm4p_c + h2o_c  -> anhm3p_c + ala__D_c ,3.4.17.13,33566.57000000001,160
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,anhm3p_c + h2o_c  -> anhm_c + LalaDgluMdap_c ,3.5.1.28,20535.53,25
UM4PCP,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine L,D-carboxypeptidase",um4p_c + h2o_c  -> ugmd_c + ala__D_c ,3.4.17.13,33566.57000000001,160
CBLAT_f,Cob(I)alamin adenosyltransferase,h_c + cbl1_c + atp_c  -> adocbl_c + pppi_c ,2.5.1.17,21998.239999999998,0.049999999999999996
MSO3abcpp,Methanesulfonate transport via ABC system (periplasm),atp_c + h2o_c + mso3_p  -> h_c + adp_c + pi_c + mso3_c ,3.6.3.-,91182.86,95.19583333333334
MSO3tex_f,Methanesulfonate transport via diffusion (extracellular to periplasm),mso3_e  -> mso3_p ,,39959.4825,100000000
TDP,Thiamin pyrophosphatase,thmpp_c + h2o_c  -> h_c + pi_c + thmmp_c ,3.6.1.-,17432.43,90.13177272727273
3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),LalaDgluMdap_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + LalaDgluMdap_c ,,203043.97333333333,22
4PEPTabcpp,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),atp_c + h2o_c + LalaDgluMdapDala_p  -> h_c + adp_c + pi_c + LalaDgluMdapDala_c ,,204229.28999999998,22
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),h_p + anhgm3p_p  -> h_c + anhgm3p_c ,,53243.880000000005,22
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),h_p + anhgm4p_p  -> h_c + anhgm4p_c ,,53243.880000000005,22
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),h_p + anhgm_p  -> h_c + anhgm_c ,,53243.880000000005,22
FEOXAMR1,Ferroxamine reductase,fadh2_c + 2 feoxam_c  -> 2 h_c + 2 fe2_c + 2 feoxam_un_c + fad_c ,,30111.92,22
FEOXAMR2,Ferroxamine reductase,2 feoxam_c + fmnh2_c  -> 2 h_c + 2 fe2_c + fmn_c + 2 feoxam_un_c ,,30111.92,22
FEOXAMR3,Ferroxamine reductase,2 feoxam_c + rbflvrd_c  -> 2 h_c + 2 fe2_c + ribflv_c + 2 feoxam_un_c ,,30111.92,22
PTHRpp,Phospho-L-threonine phosphatase (periplasmic),h2o_p + thrp_p  -> thr__L_p + pi_p ,"3.1.3.1, 3.1.3.2",37769.895000000004,67
ARABDI_f,L-fucose isomerase,arab__D_c  -> rbl__D_c ,5.3.1.3,64974.729999999996,0.1823
AGt3,Silver transport out via proton antiport,h_e + ag_c  -> h_c + ag_e ,,221472.41000000003,22
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),cd2_c + h_p  -> h_c + cd2_p ,,33801.954999999994,22
ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),zn2_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + zn2_c ,3.6.3.-,89335.01000000001,95.19583333333334
SKMt2pp,Shikimate transport in via proton symport (periplasm),h_p + skm_p  -> h_c + skm_c ,,47816.090000000004,22
FE2t2pp,Iron (II) transport in via proton symport (periplasm),fe2_p + h_p  -> h_c + fe2_c ,,44192.630000000005,22
R5PPpp,Ribose 5-phosphate phosphatase,h2o_p + r5p_p  -> rib__D_p + pi_p ,"3.1.3.1, 3.1.3.2",37769.895000000004,67
PSP_Lpp,Phospho-L-serine phosphatase (periplasmic),h2o_p + pser__L_p  -> ser__L_p + pi_p ,"3.1.3.1, 3.1.3.2",37769.895000000004,37.55
TYRPpp,Phospho-L-tyrosine phosphatase (periplasmic),h2o_p + tyrp_p  -> tyr__L_p + pi_p ,3.1.3.2,26102.649999999998,62.4
GLYC2Ptex_f,Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),glyc2p_e  -> glyc2p_p ,,39959.4825,100000000
PSERtex_f,Phospho-L-serine transport via diffusion (extracellular to periplasm),pser__L_e  -> pser__L_p ,,39959.4825,100000000
R5Ptex_f,Ribose 5-phosphate transport via diffusion (extracellular to periplasm),r5p_e  -> r5p_p ,,39959.4825,100000000
THRPtex_f,Phospho-L-threonine transport via diffusion (extracellular to periplasm),thrp_e  -> thrp_p ,,39959.4825,100000000
TYRPtex_f,Phopho-L-tyrosine transport via diffusion (extracellular to periplasm),tyrp_e  -> tyrp_p ,,39959.4825,100000000
PAPSR2,Phosphoadenylyl-sulfate reductase (glutaredoxin),paps_c + grxrd_c  -> 2 h_c + so3_c + pap_c + grxox_c ,1.8.4.8,41969.405000000006,3.5
GRXR,Glutaredoxin reductase,2 gthrd_c + grxox_c  -> grxrd_c + gthox_c ,,14012.414999999999,22
RNDR1b,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),adp_c + grxrd_c  -> dadp_c + h2o_c + grxox_c ,1.17.4.1,130894.995,8.115
RNDR2b,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),grxrd_c + gdp_c  -> dgdp_c + h2o_c + grxox_c ,1.17.4.1,130894.995,8.115
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),odecoa_c + h2o_c  -> h_c + ocdcea_c + coa_c ,3.1.2.-,31965.329999999998,39.26175
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),h2o_c + pmtcoa_c  -> h_c + hdca_c + coa_c ,3.1.2.-,31965.329999999998,3.7
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),tdcoa_c + h2o_c  -> h_c + ttdca_c + coa_c ,3.1.2.-,31965.329999999998,6.2
AAMYL,Alpha-amylase,14glucan_c  -> malthx_c ,3.2.1.1,56637.590000000004,132
AAMYLpp,Alpha-amylase (periplasm),14glucan_p  -> malthx_p ,3.2.1.1,75710.28,132
FACOAL80t2pp,Fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),h_p + atp_c + octa_p + coa_c  -> h_c + occoa_c + ppi_c + amp_c ,6.2.1.3,61550.724999999984,0.029
PPGPPDP,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",h2o_c + ppgpp_c  -> gdp_c + ppi_c ,3.1.7.2,79340.11,2.9850000000000003
CPGNabcpp,Coprogen transport via ABC system (periplasm),atp_c + h2o_c + cpgn_p  -> h_c + adp_c + pi_c + cpgn_c ,3.6.3.34,132268.33000000002,95.19583333333334
CITtex_f,Citrate transport via diffusion (extracellular to periplasm),cit_e  -> cit_p ,,39959.4825,100000000
ACGAtex_f,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),acgam_e  -> acgam_p ,,39959.4825,100000000
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),ddca_e  -> ddca_p ,,48540.00000000001,100000000
TTDCAtexi,Tetradecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),ttdca_e  -> ttdca_p ,,48540.00000000001,100000000
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),hdca_e  -> hdca_p ,,48540.00000000001,100000000
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",h2o_p + 23cump_p  -> h_p + 3ump_p ,3.1.4.16,70829.96,7.63
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",h2o_p + 23ccmp_p  -> h_p + 3cmp_p ,3.1.4.16,70829.96,7.63
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",h2o_p + 23cgmp_p  -> h_p + 3gmp_p ,3.1.4.16,70829.96,1.97
SARCOX,Sarcosine oxidase,o2_c + h2o_c + sarcs_c  -> fald_c + gly_c + h2o2_c ,1.5.3.-,40900.75,25.025
MN6PP,Mannose 6-phosphate phosphatase,h2o_c + man6p_c  -> pi_c + man_c ,3.1.3.23,28542.125,0.012
3KGK,3-keto-L-gulonate kinase,atp_c + 3dhguln_c  -> h_c + 3dhgulnp_c + adp_c ,2.7.1.53,55153.29,14.804833333333335
F6PP,D-fructose 6-phosphate phosphatase,h2o_c + f6p_c  -> fru_c + pi_c ,3.1.3.23,26725.034,2.817
GDPMNH,GDP-mannose mannosyl hydrolase,gdpmann_c + h2o_c  -> h_c + gdp_c + man_c ,3.6.1.-,18272.87,151
FACOAL60t2pp,Fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),h_p + atp_c + hxa_p + coa_c  -> h_c + ppi_c + hxcoa_c + amp_c ,6.2.1.3,61550.724999999984,0.029
IDONt2rpp_f,"L-idonate transport via proton symport, reversible (periplasm)",h_p + idon__L_p  -> h_c + idon__L_c ,3.6.3,46040.200000000004,59.36758823529412
ILEabcpp,L-isoleucine transport via ABC system (periplasm),atp_c + ile__L_p + h2o_c  -> h_c + adp_c + pi_c + ile__L_c ,,172988.33999999997,22
INDOLEt2pp,"Indole transport via proton symport, irreversible (periplasm)",h_c + indole_c  -> h_p + indole_p ,,206470.67,22
INSt2pp,Inosine transport in via proton symport (periplasm),h_p + ins_p  -> h_c + ins_c ,,45333.7,22
LYXt2pp,L-Lyxose transport via proton symport (periplasm),h_p + lyx__L_p  -> h_c + lyx__L_c ,,37318.88,22
GDPDPK,GDP diphosphokinase,atp_c + gdp_c  -> h_c + ppgpp_c + amp_c ,2.7.6.5,81606.635,73
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),ocdca_e  -> ocdca_p ,,48540.00000000001,100000000
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),ocdcea_e  -> ocdcea_p ,,48540.00000000001,100000000
G6Ptex_f,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),g6p_e  -> g6p_p ,,39959.4825,100000000
TUNGSabcpp,Tungstate transport via ABC system (periplasm),atp_c + tungs_p + h2o_c  -> h_c + adp_c + pi_c + tungs_c ,3.6.3.29,91366.84000000001,95.19583333333334
MOBDabcpp,Molybdate transport via ABC system (periplasm),atp_c + mobd_p + h2o_c  -> h_c + adp_c + pi_c + mobd_c ,"3.6.3.25, 3.6.3.29",124433.76666666669,95.19583333333334
MOBDtex_f,Molybdate transport via diffusion (extracellular to periplasm),mobd_e  -> mobd_p ,,39959.4825,100000000
NI2uabcpp,"Nickel transport via ABC system (uptake, periplasm)",atp_c + h2o_c + ni2_p  -> h_c + ni2_c + adp_c + pi_c ,"3.6.3.2, 3.6.3.24",140128.86500000002,95.19583333333334
NI2tex_f,Nickel transport via diffusion (extracellular to periplasm),ni2_e  -> ni2_p ,,39959.4825,100000000
R15BPK,"Ribose-1,5-bisphosphokinase",r15bp_c + atp_c  -> adp_c + prpp_c ,2.7.4.23,20729.05,23.6
Kabcpp,Potassium ABC transporter (periplasm),atp_c + h2o_c + k_p  -> h_c + adp_c + pi_c + k_c ,3.6.3.12,153142.17,95.19583333333334
LEUabcpp,L-leucine transport via ABC system (periplasm),atp_c + h2o_c + leu__L_p  -> h_c + adp_c + pi_c + leu__L_c ,,173139.455,22
L_LACt2rpp_f,L-lactate reversible transport via proton symport (periplasm),h_p + lac__L_p  -> h_c + lac__L_c ,,59042.63500000001,22
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),2 h_p + mal__L_p  -> 2 h_c + mal__L_c ,,45435.13999999999,22
MALt2_3pp,Malate transport via proton symport (3 H) (periplasm),3 h_p + mal__L_p  -> 3 h_c + mal__L_c ,,46841.784999999996,22
MALTabcpp,Maltose transport via ABC system (periplasm),malt_p + atp_c + h2o_c  -> h_c + malt_c + adp_c + pi_c ,3.6.3.19,173557.99000000002,95.19583333333334
MALTHXabcpp,Maltohexaose transport via ABC system (periplasm),atp_c + h2o_c + malthx_p  -> h_c + adp_c + pi_c + malthx_c ,3.6.3.19,173557.99000000002,95.19583333333334
MALTPTabcpp,Maltopentaose transport via ABC system (periplasm),atp_c + h2o_c + maltpt_p  -> h_c + adp_c + pi_c + maltpt_c ,3.6.3.19,173557.99000000002,95.19583333333334
MALTTRabcpp,Maltotriose transport via ABC system (periplasm),atp_c + malttr_p + h2o_c  -> h_c + adp_c + pi_c + malttr_c ,3.6.3.19,173557.99000000002,95.19583333333334
MALTTTRabcpp,Maltotetraose transport via ABC system (periplasm),maltttr_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + maltttr_c ,3.6.3.19,173557.99000000002,95.19583333333334
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),man6p_p + 2 pi_c  -> man6p_c + 2 pi_p ,,50605.240000000005,22
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),pep_c + manglyc_p  -> man6pglyc_c + pyr_c ,2.7.1.195,142309.13000000003,3204
MELIBt2pp,Melibiose transport in via symport (periplasm),h_p + melib_p  -> h_c + melib_c ,,49568.47,22
METabcpp,L-methionine transport via ABC system (periplasm),atp_c + met__L_p + h2o_c  -> h_c + adp_c + met__L_c + pi_c ,3.6.3.-,90437.52999999998,95.19583333333334
GGPTRCS,Gamma glutamyl putrescine synthase,atp_c + glu__L_c + ptrc_c  -> h_c + adp_c + pi_c + ggptrc_c ,6.3.1.11,53175.56,5.94
RMNtpp,L-rhamnose transport via proton symport (periplasm),h_p + rmn_p  -> h_c + rmn_c ,,37318.88,22
SERt4pp,L-serine via sodium symport (periplasm),na1_p + ser__L_p  -> ser__L_c + na1_c ,,43476.590000000004,22
SUCCt2_3pp,Succintate transport via proton symport (3 H) (periplasm),3 h_p + succ_p  -> 3 h_c + succ_c ,,46841.784999999996,22
MNLptspp,Mannitol transport via PEP:Pyr PTS (periplasm),pep_c + mnl_p  -> mnl1p_c + pyr_c ,2.7.3.9,139358.51666666666,72.77916666666665
NAt3_1p5pp,Sodium proton antiporter (H:NA is 1.5) (periplasm),3 h_p + 2 na1_c  -> 3 h_c + 2 na1_p ,,56726.99,22
NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),2 h_p + na1_c  -> 2 h_c + na1_p ,,41354.76,22
NH4tpp_f,Ammonia reversible transport (periplasm),nh4_p  -> nh4_c ,,44513.67,30000
NMNPtpp,NMN permease (periplasm),nmn_p  -> nmn_c ,,26995.590000000004,22
NO2t2rpp_f,"Nitrite transport in via proton symport, reversible (periplasm)",h_p + no2_p  -> h_c + no2_c ,,39126.909999999996,22
NO3t7pp,Nitrate transport in via nitrite antiport (periplasm),no3_p + no2_c  -> no2_p + no3_c ,,49790.40500000001,22
ORNabcpp,Ornithine transport via ABC system (periplasm),atp_c + orn_p + h2o_c  -> h_c + adp_c + pi_c + orn_c ,3.6.3.21,108106.61,95.19583333333334
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",atp_c + h2o_c + pi_p  -> h_c + adp_c + 2 pi_c ,3.6.3.27,132436.3,51.02916666666667
PNTOt4pp,Pantothenate sodium symporter (periplasm),pnto__R_p + na1_p  -> pnto__R_c + na1_c ,,51715.79,22
FRULYSDG_f,Fructoselysine phosphate deglycase,frulysp_c + h2o_c  -> lys__L_c + g6p_c ,3.5.-.-,38568.09,105.25040476190478
METDabcpp,D-methionine transport via ABC system (periplasm),atp_c + h2o_c + met__D_p  -> h_c + met__D_c + adp_c + pi_c ,3.6.3.-,90437.52999999998,95.19583333333334
PROabcpp,L-proline transport via ABC system (periplasm),atp_c + pro__L_p + h2o_c  -> h_c + adp_c + pi_c + pro__L_c ,3.6.3.32,117765.67000000001,0.09733333333333333
PROt2rpp_f,L-proline reversible transport via proton symport (periplasm),h_p + pro__L_p  -> h_c + pro__L_c ,,52529.365000000005,22
PROt4pp,Na+/Proline-L symporter (periplasm),na1_p + pro__L_p  -> pro__L_c + na1_c ,,54342.78,22
PTRCabcpp,Putrescine transport via ABC system (periplasm),ptrc_p + atp_c + h2o_c  -> h_c + adp_c + pi_c + ptrc_c ,3.6.3.31,144370.61666666667,95.19583333333334
ASNNpp,L-asparaginase,h2o_p + asn__L_p  -> nh4_p + asp__L_p ,3.5.1.1,36849.509999999995,24
GLUNpp,Glutaminase,h2o_p + gln__L_p  -> nh4_p + glu__L_p ,3.5.1.1,36849.509999999995,0.33
