Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
ACALD_f,Acetaldehyde dehydrogenase (acetylating),nad_c + coa_c + acald_c  -> h_c + accoa_c + nadh_c ,1.2.1.10,64782.97499999999,15.7
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c  -> accoa_c + ppi_c + amp_c ,6.2.1.1,72091.36,66.6
PPA,Inorganic diphosphatase,ppi_c + h2o_c  -> h_c + 2 pi_c ,3.6.1.1,34912.276666666665,390
PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c  -> pep_c + adp_c + co2_c ,4.1.1.49,59641.53,38
ME1,Malic enzyme (NAD),nad_c + mal__L_c  -> pyr_c + nadh_c + co2_c ,1.1.1.38,63195.42000000001,134.4
ALAR_f,Alanine racemase,ala__L_c  -> ala__D_c ,5.1.1.1,38997.670000000006,27.6
ALATA_L_f,L-alanine transaminase,akg_c + ala__L_c  -> glu__L_c + pyr_c ,2.6.1.2,45865.384999999995,17.1
XYLK,Xylulokinase,xylu__D_c + atp_c  -> h_c + xu5p__D_c + adp_c ,"2.7.1.16, 2.7.1.17",56852.270000000004,3308.46
RBK,Ribokinase,rib__D_c + atp_c  -> h_c + r5p_c + adp_c ,2.7.1.15,32289.649999999998,9.166666666666666
GLYK,Glycerol kinase,atp_c + glyc_c  -> h_c + glyc3p_c + adp_c ,2.7.1.30,56229.08,4900
PPM_f,Phosphopentomutase,r1p_c  -> r5p_c ,5.4.2.7,44368.57,173
ASPTA_f,Aspartate transaminase,akg_c + asp__L_c  -> glu__L_c + oaa_c ,"2.6.1.1, 2.6.1.57",43554.3,404
FBP,Fructose-bisphosphatase,fdp_c + h2o_c  -> pi_c + f6p_c ,3.1.3.11,34181.70250000001,19.3
GLGC,Glucose-1-phosphate adenylyltransferase,h_c + atp_c + g1p_c  -> adpglc_c + ppi_c ,2.7.7.27,48696.07,370
PYK,Pyruvate kinase,pep_c + h_c + adp_c  -> atp_c + pyr_c ,2.7.1.40,51041.740000000005,135.5
A5PISO_f,Arabinose-5-phosphate isomerase,ru5p__D_c  -> ara5p_c ,5.3.1.13,34612.795,10.5
IPPMIb_f,2-isopropylmalate hydratase,h2o_c + 2ippm_c  -> 3c3hmp_c ,4.2.1.33,72349.17000000001,10
ACHBS,2-aceto-2-hydroxybutanoate synthase,h_c + 2obut_c + pyr_c  -> 2ahbut_c + co2_c ,2.2.1.6,76233.53,33
ACLS,Acetolactate synthase,h_c + 2 pyr_c  -> alac__S_c + co2_c ,2.2.1.6,76233.53,38.94
PSCVT_f,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c  -> pi_c + 3psme_c ,2.5.1.19,46094.42,24.628590499999998
ANS,Anthranilate synthase,chor_c + gln__L_c  -> h_c + glu__L_c + anth_c + pyr_c ,4.1.3.27,114343.04000000001,383
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c  -> pran_c + ppi_c ,2.4.2.18,56868.41000000001,4.4
CHORM,Chorismate mutase,chor_c  -> pphn_c ,5.4.99.5,42575.74,233450
CHORS,Chorismate synthase,3psme_c  -> pi_c + chor_c ,4.2.3.5,39136.21,29
IGPS,Indole-3-glycerol-phosphate synthase,h_c + 2cpr5p_c  -> 3ig3p_c + h2o_c + co2_c ,4.1.1.48,49490.98,9.3
ECOAH6_f,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),3htdcoa_c  -> h2o_c + td2coa_c ,"1.1.1.35, 4.2.1.17",78330.795,380.5
ENO_f,Enolase,2pg_c  -> pep_c + h2o_c ,4.2.1.11,45653.63999999999,141.4
FBA_f,Fructose-bisphosphate aldolase,fdp_c  -> dhap_c + g3p_c ,4.1.2.13,38627.07,10.8
MGSA,Methylglyoxal synthase,dhap_c  -> pi_c + mthgxl_c ,4.2.3.3,16918.12,220
PPS,Phosphoenolpyruvate synthase,atp_c + h2o_c + pyr_c  -> pep_c + 2 h_c + pi_c + amp_c ,2.7.9.2,87432.29000000001,0.32999999999999996
PGI_f,Glucose-6-phosphate isomerase,g6p_c  -> f6p_c ,5.3.1.9,61527.88,923.75
PGK_f,Phosphoglycerate kinase,3pg_c + atp_c  -> 13dpg_c + adp_c ,2.7.2.3,41116.97,1480
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,2ddg6p_c  -> g3p_c + pyr_c ,4.1.2.14,22283.42,149.93
PGL,6-phosphogluconolactonase,h2o_c + 6pgl_c  -> h_c + 6pgc_c ,3.1.1.31,36306.469999999994,570.2
RPE_f,Ribulose 5-phosphate 3-epimerase,ru5p__D_c  -> xu5p__D_c ,5.1.3.1,24553.49,873.3
TALA_f,Transaldolase,g3p_c + s7p_c  -> e4p_c + f6p_c ,2.2.1.2,35438,13
TKT1_f,Transketolase,r5p_c + xu5p__D_c  -> g3p_c + s7p_c ,2.2.1.1,72625.08499999999,4.24375
G6PDA,Glucosamine-6-phosphate deaminase,h2o_c + gam6p_c  -> nh4_c + f6p_c ,3.5.99.6,29773.319999999996,72.93333333333334
ALCD2x_f,Alcohol dehydrogenase (ethanol),nad_c + etoh_c  -> h_c + acald_c + nadh_c ,1.1.1.1,65751.495,352.2
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",nadp_c + h2o_c + acald_c  -> 2 h_c + ac_c + nadph_c ,1.1.1.2,39159.534,53.5
RMI_f,L-rhamnose isomerase,rmn_c  -> rml_c ,5.3.1.14,47198.01,224
FMNAT,FMN adenylyltransferase,h_c + atp_c + fmn_c  -> ppi_c + fad_c ,2.7.7.2,34733.27,370
NADDP,NAD diphosphatase,nad_c + h2o_c  -> 2 h_c + nmn_c + amp_c ,3.6.1.22,51645.955,19.3
NMNAT,Nicotinamide-nucleotide adenylyltransferase,h_c + atp_c + nmn_c  -> nad_c + ppi_c ,"2.7.1.22, 2.7.7.1",35935.795,0.9045833333333333
HMPK1,Hydroxymethylpyrimidine kinase (ATP),atp_c + 4ahmmp_c  -> h_c + adp_c + 4ampm_c ,"2.7.1.49, 2.7.4.7",29739.649999999994,0.254175
NDPK6_f,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c  -> dutp_c + adp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
NDPK8_f,Nucleoside-diphosphate kinase (ATP:dADP),dadp_c + atp_c  -> adp_c + datp_c ,"2.7.4.3, 2.7.4.6",19524.12,571.5
PYNP2r_f,Pyrimidine-nucleoside phosphorylase (uracil),pi_c + uri_c  -> r1p_c + ura_c ,2.4.2.3,27158.260000000002,150
DURIPP_f,Deoxyuridine phosphorylase,duri_c + pi_c  -> 2dr1p_c + ura_c ,"2.4.2.1, 2.4.2.4",36577.395000000004,39.965
PTRCTA,Putrescine Transaminase,akg_c + ptrc_c  -> 4abutn_c + glu__L_c ,2.6.1.82,49659.98999999999,278
CYSDS,Cysteine Desulfhydrase,cys__L_c + h2o_c  -> h2s_c + nh4_c + pyr_c ,"4.1.99.1, 4.4.1.8",47991.494999999995,25.349999999999998
TRPAS2_f,Tryptophanase (L-tryptophan),trp__L_c + h2o_c  -> nh4_c + indole_c + pyr_c ,4.1.99.1,52771.85999999999,5.4
NDP3,Nucleoside diphosphatase  GDP ,gdp_c + h2o_c  -> h_c + pi_c + gmp_c ,3.6.1.-,26392.035,660.3553888888889
CDPPH,CDP phosphohydrolase,h2o_c + cdp_c  -> h_c + pi_c + cmp_c ,"3.6.1.6, 3.6.1.5",35351.64,700
NDP7,Nucleoside diphosphatase  UDP ,h2o_c + udp_c  -> h_c + ump_c + pi_c ,3.6.1.5,35351.64,80.9
PMDPHT,Pyrimidine phosphatase,h2o_c + 5aprbu_c  -> pi_c + 4r5au_c ,3.1.3.104,28658.155000000006,1.4649999999999999
ILETA_f,Isoleucine transaminase,akg_c + ile__L_c  -> glu__L_c + 3mop_c ,2.6.1.42,34092.58,48
VALTA_f,Valine transaminase,akg_c + val__L_c  -> 3mob_c + glu__L_c ,2.6.1.42,34092.58,19
ORPT_f,Orotate phosphoribosyltransferase,orot5p_c + ppi_c  -> prpp_c + orot_c ,2.4.2.10,23566.32,1.9500000000000002
RBFSa,Riboflavin synthase,4r5au_c + db4p_c  -> dmlz_c + pi_c + 2 h2o_c ,2.5.1.78,16156.119999999997,0.04095714285714286
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",23dhmp_c  -> h2o_c + 3mop_c ,4.2.1.9,65529.56999999999,11.5
G1PP,Glucose-1-phosphatase,g1p_c + h2o_c  -> pi_c + glc__D_c ,3.1.3.10,25152.766666666666,117
PFL,Pyruvate formate lyase,pyr_c + coa_c  -> accoa_c + for_c ,2.3.1.54,118457.90999999999,770
FRD2,Fumarate reductase,fum_c + mql8_c  -> succ_c + mqn8_c ,"1.3.5.1, 1.3.5.4",121159.1,250
FRD3,Fumarate reductase,fum_c + 2dmmql8_c  -> 2dmmq8_c + succ_c ,"1.3.5.1, 1.3.5.4",121159.1,250
POX,Pyruvate oxidase,h2o_c + q8_c + pyr_c  -> ac_c + q8h2_c + co2_c ,1.2.5.1,62009.62000000001,167
PTAr_f,Phosphotransacetylase,accoa_c + pi_c  -> actp_c + coa_c ,2.3.1.8,56617.715,120
ACKr_f,Acetate kinase,ac_c + atp_c  -> actp_c + adp_c ,2.7.2.1,43034.83333333333,908
MOAT,3-deoxy-D-manno-octulosonic acid transferase,ckdo_c + lipidA_c  -> h_c + cmp_c + kdolipid4_c ,2.4.99.12,47289.76000000001,2.8666666666666667
UDCPDPS,Undecaprenyl diphosphate synthase,frdp_c + 8 ipdp_c  -> 8 ppi_c + udcpdp_c ,2.5.1.31,28443.32,2.1762
USHD,UDP-sugar hydrolase,u23ga_c + h2o_c  -> 2 h_c + ump_c + lipidX_c ,3.6.1.54,26893.449999999997,90.13177272727273
LPADSS,Lipid A disaccaride synthase,u23ga_c + lipidX_c  -> h_c + lipidAds_c + udp_c ,2.4.1.182,42381.310000000005,18.3185
TDSK,Tetraacyldisaccharide 4'kinase,atp_c + lipidAds_c  -> h_c + adp_c + lipidA_c ,2.7.1.130,35588.28,2.4
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),h2o_c + dgtp_c  -> h_c + ppi_c + dgmp_c ,3.6.1.55,22669.015,2.55
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),h2o_c + gtp_c  -> h_c + ppi_c + gmp_c ,3.6.1.55,22669.015,2.55
NTPTP1,Nucleoside triphosphate tripolyhydrolase,h2o_c + dgtp_c  -> pppi_c + dgsn_c ,3.1.5.1,59381.11,4000
NTPTP2,Nucleoside triphosphate tripolyhydrolase,h2o_c + gtp_c  -> pppi_c + gsn_c ,3.1.5.1,59381.11,4000
IPMD,3-isopropylmalate dehydrogenase,nad_c + 3c2hmp_c  -> h_c + 3c4mop_c + nadh_c ,1.1.1.85,39914.765,69
AIRC3_f,Phosphoribosylaminoimidazole carboxylase (mutase rxn),5aizc_c  -> 5caiz_c ,5.4.99.18,17779.839999999997,15.6
ADSL2r_f,Adenylosuccinate lyase,25aics_c  -> aicar_c + fum_c ,4.3.2.2,51541.29000000001,7
PUNP5_f,Purine-nucleoside phosphorylase (Inosine),pi_c + ins_c  -> r1p_c + hxan_c ,2.4.2.1,27891.445000000003,6200
PUNP6_f,Purine-nucleoside phosphorylase (Deoxyinosine),pi_c + din_c  -> 2dr1p_c + hxan_c ,2.4.2.1,27891.445000000003,44.93
PUNP7_f,Purine-nucleoside phosphorylase (Xanthosine),xtsn_c + pi_c  -> xan_c + r1p_c ,2.4.2.1,29833.769999999993,44.93
RNDR1,Ribonucleoside-diphosphate reductase (ADP),adp_c + trdrd_c  -> dadp_c + trdox_c + h2o_c ,1.17.4.1,142932.79499999998,8.115
RNDR3,Ribonucleoside-diphosphate reductase (CDP),trdrd_c + cdp_c  -> trdox_c + h2o_c + dcdp_c ,1.17.4.1,142932.79499999998,8.115
RNDR4,Ribonucleoside-diphosphate reductase (UDP),trdrd_c + udp_c  -> dudp_c + trdox_c + h2o_c ,1.17.4.1,142932.79499999998,8.115
TMDS,Thymidylate synthase,mlthf_c + dump_c  -> dtmp_c + dhf_c ,2.1.1.45,30478.78,3.11
TMDK1,Thymidine kinase (ATP:thymidine),thymd_c + atp_c  -> h_c + adp_c + dtmp_c ,2.7.1.21,23455.869999999995,2
PPCDC,Phosphopantothenoylcysteine decarboxylase,h_c + 4ppcys_c  -> pan4p_c + co2_c ,4.1.1.36,43436.909999999996,2.9
FTHFD,Formyltetrahydrofolate deformylase,10fthf_c + h2o_c  -> h_c + thf_c + for_c ,3.5.1.10,31933.789999999994,111.86944444444447
EDD,6-phosphogluconate dehydratase,6pgc_c  -> h2o_c + 2ddg6p_c ,4.2.1.12,64637.10999999999,368.4865
DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c  -> 3dhsk_c + h2o_c ,4.2.1.10,27465.84,215
PUNP1_f,Purine-nucleoside phosphorylase (Adenosine),pi_c + adn_c  -> r1p_c + ade_c ,2.4.2.1,25949.119999999995,44.93
PUNP2_f,Purine-nucleoside phosphorylase (Deoxyadenosine),pi_c + dad_2_c  -> 2dr1p_c + ade_c ,2.4.2.1,25949.119999999995,44.93
PUNP3_f,Purine-nucleoside phosphorylase (Guanosine),pi_c + gsn_c  -> r1p_c + gua_c ,2.4.2.1,27891.445000000003,44.93
LYSAM_f,"Lysine 2,3-aminomutase",lys__L_c  -> 36dahx_c ,5.4.3.-,38748.52,0.083
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c  -> 3mob_c + h2o_c ,4.2.1.9,65529.56999999999,11.5
IPPMIa_f,3-isopropylmalate dehydratase,3c2hmp_c  -> h2o_c + 2ippm_c ,4.2.1.33,72349.17000000001,368.4865
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),glyc3p_c + 2dmmq8_c  -> dhap_c + 2dmmql8_c ,1.1.5.3,148383.26,33.3
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),h_c + 2dmmq8_c + nadh_c  -> nad_c + 2dmmql8_c ,1.6.5.2,27186.6875,8.9
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),h_c + mqn8_c + nadh_c  -> nad_c + mql8_c ,1.6.5.2,27186.6875,8.9
MDH_f,Malate dehydrogenase,nad_c + mal__L_c  -> h_c + oaa_c + nadh_c ,1.1.1.37,32336.39,138.5
FUM_f,Fumarase,fum_c + h2o_c  -> mal__L_c ,4.2.1.2,56962.63,60
PYDXNK,Pyridoxine kinase,pydxn_c + atp_c  -> h_c + adp_c + pdx5p_c ,2.7.1.35,30846.5,0.3
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,o2_c + pyam5p_c + h2o_c  -> pydx5p_c + nh4_c + h2o2_c ,1.4.3.5,25544.359999999997,14.86
OHPBAT_f,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,ohpb_c + glu__L_c  -> akg_c + phthr_c ,2.6.1.52,39782.09,2.49
GLUTRR,Glutamyl-tRNA reductase,h_c + glutrna_c + nadph_c  -> glu1sa_c + nadp_c + trnaglu_c ,1.2.1.70,46305.5,0.15
GLCS1,Glycogen synthase (ADPGlc),adpglc_c  -> h_c + adp_c + glycogen_c ,2.4.1.21,52820.89,284
GLCP,Glycogen phosphorylase,pi_c + glycogen_c  -> g1p_c ,2.4.1.1,91844.8,47
HEMEOS,Heme O synthase,frdp_c + h2o_c + pheme_c  -> ppi_c + hemeO_c ,2.5.1.-,32247.64,2.0765357142857144
ADMDC,Adenosylmethionine decarboxylase,h_c + amet_c  -> ametam_c + co2_c ,4.1.1.50,30383.71,0.088
AGMT,Agmatinase,h2o_c + agm_c  -> urea_c + ptrc_c ,3.5.3.11,33556.009999999995,0.032
ARGDC,Arginine decarboxylase,h_c + arg__L_c  -> agm_c + co2_c ,4.1.1.19,84422.52999999998,2.2966666666666664
ARGSS,Argininosuccinate synthase,citr__L_c + asp__L_c + atp_c  -> h_c + argsuc_c + ppi_c + amp_c ,6.3.4.5,49896.86,4.212083333333334
AGPR_f,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + pi_c + nadp_c  -> h_c + nadph_c + acg5p_c ,1.2.1.38,35951.19,30.563788571428574
SPMS,Spermidine synthase,ametam_c + ptrc_c  -> h_c + 5mta_c + spmd_c ,2.5.1.16,32320.439999999995,0.14
G1SAT_f,Glutamate-1-semialdehyde aminotransferase,glu1sa_c  -> 5aop_c ,5.4.3.8,45364.759999999995,0.5099999999999999
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,ctp_c + kdo_c  -> ppi_c + ckdo_c ,2.7.7.38,27613.61,12.5
OAADC,Oxaloacetate decarboxylase,h_c + oaa_c  -> pyr_c + co2_c ,4.1.2.14,22283.42,11
MNNH,D-mannonate hydrolyase,mana_c  -> 2ddglcn_c + h2o_c ,4.2.1.8,44836.630000000005,0.81
ALTRH,Altronate hydrolase,altrn_c  -> 2ddglcn_c + h2o_c ,4.2.1.7,54091.51,368.4865
GUI1_f,Glucuronate isomerase (D-glucuronate),glcur_c  -> fruur_c ,5.3.1.12,53985.54,196
PGAMT_f,Phosphoglucosamine mutase,gam1p_c  -> gam6p_c ,5.4.2.10,47542.21,0.52
UAGDP,UDP-N-acetylglucosamine diphosphorylase,h_c + acgam1p_c + utp_c  -> ppi_c + uacgam_c ,2.7.7.23,49188.729999999996,68.41428571428571
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,pep_c + uacgam_c  -> pi_c + uaccg_c ,2.5.1.7,44816.37,4.633333333333334
GLUR_f,Glutamate racemase,glu__D_c  -> glu__L_c ,5.1.1.3,31001.07,43.33
UAG2E_f,UDP-N-acetylglucosamine 2-epimerase,uacgam_c  -> uacmam_c ,5.1.3.14,42243.33,3.625
MACPD,Malonyl-ACP decarboxylase,h_c + malACP_c  -> acACP_c + co2_c ,2.3.1.41,42612.02,0.05165
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,amet_c + 2omhmbl_c  -> h_c + q8h2_c + ahcys_c ,2.1.1.64,26554.690000000002,0.0524684
ICHORS_copy1,Isochorismate synthase,chor_c  -> ichor_c ,5.4.4.2,42930.26999999999,0.35
HACD5_f,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),h_c + 3oddcoa_c + nadh_c  -> nad_c + 3hddcoa_c ,1.1.1.35,78330.795,229
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,atp_c + 6hmhpt_c  -> h_c + 6hmhptpp_c + amp_c ,2.7.6.3,18078.26,0.17
PTPATi,Pantetheine-phosphate adenylyltransferase,h_c + pan4p_c + atp_c  -> ppi_c + dpcoa_c ,2.7.7.3,17836.140000000003,4.699999999999999
HEX7,Hexokinase (D-fructose:ATP),fru_c + atp_c  -> h_c + adp_c + f6p_c ,2.7.1.4,32498.779999999995,14.3
DXPRIi,1-deoxy-D-xylulose reductoisomerase,h_c + dxyl5p_c + nadph_c  -> 2me4p_c + nadp_c ,1.1.1.267,43386.74999999999,32.25
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,h_c + 3ophb_c  -> 2oph_c + co2_c ,4.1.1.98,55601.98999999999,75.042
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,amet_c + 2ohph_c  -> h_c + ahcys_c + 2omph_c ,2.1.1.222,26554.690000000002,0.0524684
